"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_c36569e9","1","1","1","1","46.6022930145","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","left","2.06033992767","48.6626729965","2.93966007233","51.7730669975","5.06356406212","56.8366858959","0.936435937881","57.8088538647","58.8371589184","58.9086780548","61.9116089344","0","61.9260618687","64.0885748863",""
"sujeto_c36569e9","1","1","2","2","64.2445659637","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","","2.51517081261","66.7598068714","2.48482918739","69.4150438309","6","75.4151699543","0","75.4341518879","77.3121869564","77.3850338459","80.387996912","0","80.4032759666","82.4960389137",""
"sujeto_c36569e9","1","1","3","3","82.6375789642","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","right","3.15535616875","85.7930009365","1.84464383125","87.8229448795","3.62492394447","91.4479238987","2.37507605553","93.8767700195","95.4884479046","95.5609178543","98.5638408661","1","98.5790429115","102.857365847",""
"sujeto_c36569e9","1","1","4","4","102.997010946","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.83402991295","104.831101894","3.16597008705","108.170490026","4.00258398056","112.173111916","1.99741601944","114.221065998","115.42583704","115.505625963","118.508596897","1","118.523078918","121.977021933",""
"sujeto_c36569e9","1","1","5","5","122.124042034","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","2.47018694878","124.594270945","2.52981305122","127.294972897","4.80924391747","132.104279041","1.19075608253","133.330685854","134.852074862","134.931710005","137.934694052","1","137.94916296","144.985868931",""
"sujeto_c36569e9","1","1","6","6","145.117521048","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","1.64386796951","146.761431932","3.35613203049","150.275524855","5.67905688286","155.954644918","0.320943117142","156.326910019","157.381752014","157.46062088","160.463589907","0","160.47774291","168.104338884",""
"sujeto_c36569e9","1","1","7","7","168.246239901","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","individual","left","3.06739783287","171.313699961","1.93260216713","173.417873859","4.176831007","177.594744921","1.823168993","179.454872847","181.318898916","181.355629921","184.358582973","1","184.373677969","190.134686947",""
"sujeto_c36569e9","1","1","8","8","190.275615931","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","3.94314813614","194.218804836","1.05685186386","195.449280024","4.1735200882","199.62283802","1.8264799118","201.497658014","202.941974878","203.015624046","206.018630981","0","206.033136845","212.126693964",""
"sujeto_c36569e9","1","1","9","9","212.267192841","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","2.42783689499","214.695094824","2.57216310501","217.427474022","4.74357414246","222.171090841","1.25642585754","223.462180853","225.011693954","225.095398903","228.098383904","1","228.112934828","234.158552885",""
"sujeto_c36569e9","1","1","10","10","234.297958851","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","","3.38121199608","237.679214001","1.61878800392","239.454893827","6","245.455026865","0","245.474169016","247.042623997","247.123705864","250.12668395","0","250.141374826","257.215034008",""
"sujeto_c36569e9","1","1","11","11","257.376437902","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","left","1.84796094894","259.224444866","3.15203905106","262.551077843","3.95331406593","266.504439831","2.04668593407","268.601603985","270.28361392","270.368856907","273.371842861","0","273.386615038","277.119900942",""
"sujeto_c36569e9","1","1","12","12","277.254855871","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","1.84164309502","279.096561909","3.15835690498","282.411270857","4.39230895042","286.803647995","1.60769104958","288.445181847","289.817921877","289.896713972","292.899706841","0","292.913616896","295.688221931",""
"sujeto_c36569e9","1","1","13","13","295.815062046","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","left","2.67761993408","298.492730856","2.32238006592","301.069726944","5.93607401848","307.005859852","0.0639259815216","307.122541904","308.201750994","308.288951874","311.291885853","0","311.306577921","315.147601843",""
"sujeto_c36569e9","1","1","14","14","315.291924953","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","left","2.91098594666","318.202952862","2.08901405334","320.480967045","4.05290198326","324.533906937","1.94709801674","326.532670975","327.990509033","328.066417933","331.069406033","1","331.083848953","338.856822968",""
"sujeto_c36569e9","1","1","15","15","339.001952887","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","right","2.90909099579","341.911109924","2.09090900421","344.156556845","4.18957805634","348.346174955","1.81042194366","350.210878849","351.259697914","351.345593929","354.348574877","1","354.362732887","361.053587914",""
"sujeto_c36569e9","1","1","16","16","361.197545052","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","competitive","","2.25314307213","363.450758934","2.74685692787","366.371935844","6","372.372076035","0","372.389780998","374.129645824","374.206984997","377.209979057","0","377.224603891","380.685153961",""
"sujeto_c36569e9","1","1","17","17","380.825886011","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","competitive","right","2.33160400391","383.157593012","2.66839599609","385.997429848","3.30598092079","389.303467989","2.69401907921","392.049157858","393.088227034","393.167654037","396.170591831","0","396.184100866","400.993731976",""
"sujeto_c36569e9","1","1","18","18","401.135947943","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","competitive","left","2.01565790176","403.151667833","2.98434209824","406.30776","4.60797595978","410.915793896","1.39202404022","412.343307018","414.299456835","414.378013849","417.380962849","0","417.39544487","420.997975826",""
"sujeto_c36569e9","1","1","19","19","421.147192001","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","competitive","right","3.09158778191","424.238828897","1.90841221809","426.315902948","5.2959280014","431.61187005","0.704071998596","432.354688883","434.098753929","434.171231031","437.174201965","1","437.189517021","441.663954973",""
"sujeto_c36569e9","1","1","20","20","441.790623903","inverse","2","1","3","¿Qué civilización practicaba
 la momificación?","Grecia","Egipto","right","0","0","1","competitive","right","2.16427588463","443.954936981","2.83572411537","446.962394953","3.61465096474","450.577088833","2.38534903526","453.014641047","454.953917027","455.033028841","458.035969973","1","458.050421953","462.279217958",""
"sujeto_c36569e9","1","1","21","21","462.435261011","direct","4","1","4","¿Cuántos millones de visitas
 recibe google por minuto?","3.0","4.5","","0","0","1","competitive","right","1.96528911591","464.400666952","3.03471088409","467.608186007","3.6120660305","471.220290899","2.3879339695","473.642416","475.157294035","475.24305892","478.246055841","0","478.260468006","485.383159876",""
"sujeto_c36569e9","1","1","22","22","485.512938023","inverse","1","1","3","La máquina de fax. se inventó en:","1843","1960","","0","0","1","competitive","left","1.77440404892","487.287408829","3.22559595108","490.653548002","5.73993396759","496.393543959","0.26006603241","496.685648918","497.927747011","498.003280878","501.006273985","0","501.020923853","504.25723505",""
"sujeto_c36569e9","1","1","23","23","504.405102015","direct","2","1","4","En la verdadera historia de los
 300 espartanos. habían:","300 soldados","4300 soldados","","1","1","1","competitive","left","2.16942310333","506.574574947","2.83057689667","509.596813917","4.75373792648","514.350594044","1.24626207352","515.645882845","516.907110929","516.98029995","519.983276844","1","519.997814894","523.799556971",""
"sujeto_c36569e9","1","1","24","24","523.949374914","inverse","1","1","4","¿Cuántos milímetros crece
 el pelo por día?","0.4","0.04","","0","0","0","competitive","","4.47735500336","528.426772833","0.522644996643","529.123553038","6","535.123690844","0","535.141917944","536.902612925","536.974923849","539.977862835","0","539.993512869","546.728643894",""
"sujeto_c36569e9","1","1","25","25","546.877879858","direct","4","1","1","¿Cuánto mide la baldosa gris 
clásica de Montevideo?","22x22 cm.","20x20 cm.","","1","1","1","individual","right","4.53410506248","551.412046909","0.465894937515","552.034368038","4.75757813454","556.791983843","1.24242186546","558.087144852","560.081579924","560.120777845","563.123781919","1","563.13914299","568.6819489",""
