"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_33dcff34","1","1","1","1","629.828567982","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","individual","right","2.07926392555","631.907873154","2.92073607445","634.997590065","4.86436986923","639.862027168","1.13563013077","641.048470974","642.076782942","642.115618944","645.116042137","0","645.132302046","647.294841051",""
"sujeto_33dcff34","1","1","2","2","647.435734987","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","right","1.25650596619","648.692286015","3.74349403381","652.575238943","4.71909308434","657.294388056","1.28090691566","658.626492023","660.504544973","660.577995062","663.580961943","0","663.595281124","665.688047171",""
"sujeto_33dcff34","1","1","3","3","665.814723015","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","right","1.2129919529","667.02778101","3.7870080471","670.968112946","4.05070304871","675.018881083","1.94929695129","677.02029705","678.631984949","678.703999996","681.706954002","1","681.722031116","686.000374079",""
"sujeto_33dcff34","1","1","4","4","686.12330699","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.11975598335","687.243127108","3.88024401665","691.278139114","4.39024019241","695.668418169","1.60975980759","697.32989502","698.534667015","698.61412406","701.616068125","1","701.630102158","705.084021091",""
"sujeto_33dcff34","1","1","5","5","705.21765399","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","1.02805685997","706.245754957","3.97194314003","710.373094082","3.55373215675","713.926892042","2.44626784325","716.423899174","717.945311069","718.025058985","721.028015137","1","721.043077946","728.076023102",""
"sujeto_33dcff34","1","1","6","6","728.212303162","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","0.988994121552","729.201378107","4.01100587845","733.352432966","4.32199501991","737.674488068","1.67800498009","739.403548956","740.458361149","740.537625074","743.540610075","0","743.554522038","751.181108952",""
"sujeto_33dcff34","1","1","7","7","751.309942007","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","1.00583600998","752.31584096","3.99416399002","756.447715998","4.59630703926","761.044084072","1.40369296074","762.483170986","764.347152948","764.41657114","767.419546127","1","767.434581995","773.191509008",""
"sujeto_33dcff34","1","1","8","8","773.319136143","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","1.13427591324","774.453479052","3.86572408676","778.472543955","4.07001709938","782.542618036","1.92998290062","784.524522066","785.968060017","786.058877945","789.061856031","0","789.076131105","795.172081947",""
"sujeto_33dcff34","1","1","9","9","795.299468994","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","right","1.33456993103","796.634086132","3.66543006897","800.437952042","4.58820581436","805.02621603","1.41179418564","806.490355015","808.039868116","808.107643127","811.110633135","1","811.124919176","817.167428017",""
"sujeto_33dcff34","1","1","10","10","817.311408997","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","1.10117387772","818.412649155","3.89882612228","822.450387955","5.60340189934","828.053847075","0.396598100662","828.502020121","830.070397139","830.15072298","833.153733969","0","833.16802907","840.24001503",""
"sujeto_33dcff34","1","1","11","11","840.374083996","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","left","2.04010987282","842.414237976","2.95989012718","845.544136047","4.0922729969","849.636468172","1.9077270031","851.598444939","853.280058146","853.349430084","856.352071047","0","856.366048098","860.096092939",""
"sujeto_33dcff34","1","1","12","12","860.24981308","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","right","1.04090094566","861.29076004","3.95909905434","865.38587594","4.61797499657","870.00388813","1.38202500343","871.438752174","872.811478138","872.889518023","875.892460108","0","875.906769991","878.681419134",""
