"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_5fc6b519","2","1","1","1","31.6417710781","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","1.16515088081","32.8069939613","3.83484911919","36.7970509529","3.2909078598","40.0880329609","2.7090921402","42.8466961384","43.8749599457","43.9635920525","46.9665710926","0","46.981276989","49.1437830925",""
"sujeto_5fc6b519","2","1","2","2","49.2824990749","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","0.90944480896","50.1919910908","4.09055519104","54.4392139912","2.67182397842","57.1111030579","3.32817602158","60.4897401333","62.3677749634","62.4416940212","65.4446771145","0","65.4589481354","67.5517270565",""
"sujeto_5fc6b519","2","1","3","3","67.6776721478","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","0.949332952499","68.6270821095","4.0506670475","72.8441691399","1.74377608299","74.5880110264","4.25622391701","78.8790900707","80.4907450676","80.5645530224","83.5675561428","1","83.5821521282","87.8605079651",""
"sujeto_5fc6b519","2","1","4","4","88.0002081394","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","0.727766990662","88.7280399799","4.27223300934","93.1589810848","1.48190402985","94.6409449577","4.51809597015","99.208242178","100.413021088","100.494745016","103.497722149","1","103.510323048","106.964244127",""
"sujeto_5fc6b519","2","1","5","5","107.111588001","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","1.50245904922","108.614125013","3.49754095078","112.269891024","1.29012799263","113.560045958","4.70987200737","118.319264174","119.84068203","119.920866013","122.923797131","1","122.93927002","129.975931168",""
"sujeto_5fc6b519","2","1","6","6","130.123825073","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","0.841140031815","130.965029001","4.15885996819","135.280620098","2.68932795525","137.969989061","3.31067204475","141.33176899","142.38657999","142.466439962","145.469431162","0","145.483708143","153.110310078",""
"sujeto_5fc6b519","2","1","7","7","153.235553026","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","1.1783759594","154.413975954","3.8216240406","158.390758038","2.04218888283","160.432986975","3.95781111717","164.441987038","166.30598402","166.377068043","169.380050182","1","169.394303083","175.155330181",""
"sujeto_5fc6b519","2","1","8","8","175.296399117","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","0.919595003128","176.216037989","4.08040499687","180.470883131","2.34706997871","182.817993164","3.65293002129","186.520957947","187.965260983","188.039769173","191.042747021","0","191.057306051","197.15668416",""
"sujeto_5fc6b519","2","1","9","9","197.291907072","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","right","1.07611083984","198.368061066","3.92388916016","202.448583126","2.58934617043","205.037973166","3.41065382957","208.498672962","210.048186064","210.133950949","213.136916161","1","213.15157795","219.198865175",""
"sujeto_5fc6b519","2","1","10","10","219.335656166","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","left","1.10642004013","220.442139149","3.89357995987","224.477061987","1.5968708992","226.073976994","4.4031291008","230.526942968","232.095380068","232.178802013","235.181770086","0","235.195976973","242.269628048",""
"sujeto_5fc6b519","2","1","11","11","242.415002108","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","right","0.787994146347","243.203071117","4.21200585365","247.572100163","1.75889897346","249.331042051","4.24110102654","253.621932983","255.304044962","255.390681982","258.393639088","0","258.408895969","262.142196178",""
"sujeto_5fc6b519","2","1","12","12","262.276226044","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","right","0.793787956238","263.070065022","4.20621204376","267.432322025","1.92762494087","269.360013962","4.07237505913","273.465799093","274.838557005","274.917272091","277.920248032","0","277.934981108","280.709634066",""
"sujeto_5fc6b519","2","1","13","13","280.853482962","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","left","0.838526964188","281.692058086","4.16147303581","286.025328159","1.17960596085","287.204976082","4.82039403915","292.107411146","293.186666012","293.259957075","296.262922049","0","296.277126074","300.118137121",""
"sujeto_5fc6b519","2","1","14","14","300.262119055","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","0.572925806046","300.835114956","4.42707419395","305.435585022","1.34343600273","306.779059172","4.65656399727","311.485229015","312.943061113","313.020491123","316.023484945","1","316.037750006","323.808704138",""
"sujeto_5fc6b519","2","1","15","15","323.939644098","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","right","0.875386953354","324.815085173","4.12461304665","329.094344139","1.31068515778","330.40507412","4.68931484222","335.14517498","336.193994999","336.264412165","339.267390013","1","339.281780958","345.972635031",""
"sujeto_5fc6b519","2","1","16","16","346.100331068","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","competitive","left","0.950704813004","347.051102161","4.049295187","351.258882046","0.909112930298","352.16803813","5.0908870697","357.308233976","359.048235178","359.127356052","362.130331993","0","362.144814968","365.605327129",""
