"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_68df437b","1","1","1","1","2194.47487807","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","2.37981104851","2196.85475111","2.62018895149","2199.66288614","3.36891913414","2203.03185606","2.63108086586","2205.71389413","2206.74218798","2206.815979","2209.81894898","0","2209.83257198","2211.99429607",""
"sujeto_68df437b","1","1","2","2","2212.13421011","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","right","1.49672913551","2213.631006","3.50327086449","2217.28877306","3.66718387604","2220.95599794","2.33281612396","2223.33952808","2225.21757293","2225.30788898","2228.31085706","0","2228.32544398","2230.41820407",""
"sujeto_68df437b","1","1","3","3","2230.57775116","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","1.25917601585","2231.83698606","3.74082398415","2235.73182797","2.74526381493","2238.47715402","3.25473618507","2241.76536703","2243.37698698","2243.45071411","2246.45369101","1","2246.46794605","2250.74625015",""
"sujeto_68df437b","1","1","4","4","2250.8862071","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.22398710251","2252.11024904","3.77601289749","2256.04107094","2.21519112587","2258.25630093","3.78480887413","2262.09373999","2263.29851913","2263.37761903","2266.38059306","1","2266.39577913","2269.84971094",""
"sujeto_68df437b","1","1","5","5","2269.99705601","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","1.27039694786","2271.26749706","3.72960305214","2275.16964316","2.58178901672","2277.75149798","3.41821098328","2281.21997809","2282.74134803","2282.82117605","2285.82416296","1","2285.83867812","2292.87538004",""
"sujeto_68df437b","1","1","6","6","2293.02399802","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","1.15663981438","2294.18070507","3.84336018562","2298.18175101","2.58292102814","2300.76473093","3.41707897186","2304.23141098","2305.28624511","2305.36722398","2308.37021708","0","2308.38368416","2316.01027513",""
"sujeto_68df437b","1","1","7","7","2316.15162206","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","0.991164922714","2317.14283109","4.00883507729","2321.310817","3.3940050602","2324.70487905","2.6059949398","2327.34371114","2329.20773411","2329.29544806","2332.29830098","1","2332.31354499","2338.07456398",""
"sujeto_68df437b","1","1","8","8","2338.23147202","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","1.33946704865","2339.57099915","3.66053295135","2343.40376902","2.84824204445","2346.2520721","3.15175795555","2349.45471907","2350.89901805","2350.97296","2353.97590709","0","2353.99114704","2360.09052205",""
"sujeto_68df437b","1","1","9","9","2360.24218106","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.10103702545","2361.34329414","3.89896297455","2365.4156661","2.8096101284","2368.22533607","3.1903898716","2371.44900107","2372.99848914","2373.0833621","2376.08634615","1","2376.10085702","2382.14813709",""
"sujeto_68df437b","1","1","10","10","2382.30472493","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","1.07765698433","2383.38243198","3.92234301567","2387.46123004","3.51023411751","2390.97152209","2.48976588249","2393.49524498","2395.06365204","2395.14682102","2398.14979911","0","2398.164433","2405.23806906",""
"sujeto_68df437b","1","1","11","11","2405.38191795","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","left","1.12568497658","2406.50767708","3.87431502342","2410.54000807","3.35964488983","2413.8997221","2.64035511017","2416.57440209","2418.25645614","2418.34205699","2421.345047","0","2421.35935593","2425.09262705",""
"sujeto_68df437b","1","1","12","12","2425.22770214","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","1.15810012817","2426.38584709","3.84189987183","2430.38357306","2.99924397469","2433.38285613","3.00075602531","2436.43443012","2437.80719805","2437.88625002","2440.88922715","0","2440.90438008","2443.67901897",""
"sujeto_68df437b","1","1","13","13","2443.82108712","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","1.18676710129","2445.0079","3.81323289871","2448.97594213","3.04093599319","2452.01693296","2.95906400681","2455.0764451","2456.15568304","2456.24368","2459.24667311","0","2459.2613821","2463.10234809",""
"sujeto_68df437b","1","1","14","14","2463.24620008","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","left","1.01491999626","2464.26120996","3.98508000374","2468.40315294","4.25294494629","2472.65613794","1.74705505371","2474.45399714","2475.91184306","2475.98897505","2478.99198699","1","2479.00653195","2486.77946305",""
"sujeto_68df437b","1","1","15","15","2486.92405295","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","right","0.950229883194","2487.87435603","4.04977011681","2492.08231497","3.01696109772","2495.09931803","2.98303890228","2498.13326216","2499.18208814","2499.26822901","2502.27120996","1","2502.28036404","2508.97124004",""
"sujeto_68df437b","1","1","16","16","2509.11451101","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","competitive","right","1.06297397614","2510.17754698","3.93702602386","2514.27774596","4.32775092125","2518.60553813","1.67224907875","2520.32927513","2522.06931305","2522.14662194","2525.14955807","0","2525.1638031","2528.62436604",""
"sujeto_68df437b","1","1","17","17","2528.78299999","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","competitive","right","1.36661291122","2530.14967799","3.63338708878","2533.95291495","2.66978788376","2536.62274098","3.33021211624","2540.00403309","2541.04304004","2541.12235904","2544.12533593","0","2544.13891006","2548.94860196",""
"sujeto_68df437b","1","1","18","18","2549.10725307","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","competitive","right","1.01255297661","2550.11985111","3.98744702339","2554.26611114","3.6447160244","2557.91088796","2.3552839756","2560.29563904","2562.25171304","2562.32582116","2565.328722","0","2565.34399605","2568.94657612",""
"sujeto_68df437b","1","1","19","19","2569.08143711","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","competitive","left","1.14950609207","2570.23098803","3.85049390793","2574.24203515","2.9819791317","2577.22407699","3.0180208683","2580.29246306","2582.03657007","2582.11067295","2585.11365795","1","2585.12881899","2589.60159016",""
"sujeto_68df437b","1","1","20","20","2589.76375508","inverse","2","1","3","¿Qué civilización practicaba
 la momificación?","Grecia","Egipto","right","0","0","1","competitive","right","1.34544801712","2591.10928011","3.65455198288","2594.93656516","2.82366394997","2597.76028609","3.17633605003","2600.98714709","2602.92648315","2603.00477099","2606.00776005","1","2606.02327514","2610.25207996",""
"sujeto_68df437b","1","1","21","21","2610.40747595","direct","4","1","4","¿Cuántos millones de visitas
 recibe google por minuto?","3.0","4.5","","0","0","1","competitive","right","1.14390897751","2611.55142903","3.85609102249","2615.56468415","3.36570906639","2618.93043303","2.63429093361","2621.61549306","2623.13031912","2623.21668196","2626.21961498","0","2626.23405814","2633.35673809",""
