"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_282108e8","1","1","1","1","680.182356119","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","left","1.50886702538","681.691292048","3.49113297462","685.338433981","2.8758058548","688.214311123","3.1241941452","691.388448","692.416745186","692.490167141","695.493115187","0","695.507397175","697.669929981",""
"sujeto_282108e8","1","1","2","2","697.808900118","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","right","1.37535309792","699.184296131","3.62464690208","702.947098017","4.10105705261","707.048222065","1.89894294739","708.998471022","710.876475096","710.948953152","713.951936007","0","713.967061996","716.059822083",""
"sujeto_282108e8","1","1","3","3","716.201501131","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","1.38354516029","717.585111141","3.61645483971","721.370913029","3.43921303749","724.810191154","2.56078696251","727.422244072","729.033899069","729.107858181","732.11084199","1","732.12480402","736.403149128",""
"sujeto_282108e8","1","1","4","4","736.526235104","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.06485700607","737.591189146","3.93514299393","741.700110197","1.93799710274","743.638146162","4.06200289726","747.749665976","748.954213142","749.035394192","752.038109064","1","752.052186966","755.506105185",""
"sujeto_282108e8","1","1","5","5","755.637819052","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","1.55027699471","757.188163996","3.44972300529","760.793423176","2.45760607719","763.251087189","3.54239392281","766.843460083","768.364830971","768.445770025","771.448781013","1","771.462970972","778.499696016",""
"sujeto_282108e8","1","1","6","6","778.647499084","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","0.843505859375","779.491070032","4.15649414062","783.804440022","3.55155205727","787.356032133","2.44844794273","789.856062174","790.910133123","790.99000001","793.992998123","0","794.007215977","801.633779049",""
"sujeto_282108e8","1","1","7","7","801.808788061","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","1.50908899307","803.317924976","3.49091100693","806.967288017","3.49153399467","810.45886302","2.50846600533","812.999503136","814.86353898","814.93366313","817.936640978","1","817.951834202","823.710165977",""
"sujeto_282108e8","1","1","8","8","823.853288174","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","1.51554512978","825.36887908","3.48445487022","829.012006998","3.21885704994","832.230925083","2.78114295006","835.061988115","836.506333113","836.58031702","839.583304167","0","839.597655058","845.697026014",""
"sujeto_282108e8","1","1","9","9","845.849714994","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.05115008354","846.900910139","3.94884991646","851.006827116","4.10791707039","855.114778996","1.89208292961","857.040678978","858.590195179","858.674643993","861.6776371","1","861.691897154","867.739211082",""
"sujeto_282108e8","1","1","10","10","867.877424002","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","individual","right","2.27337408066","870.150859118","2.72662591934","873.066097975","4.11769390106","877.183852196","1.88230609894","879.118563175","880.686949015","880.73666501","883.73962307","0","883.753669977","890.827306986",""
"sujeto_282108e8","1","1","11","11","890.988653183","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","right","2.14863300323","893.137341022","2.85136699677","896.163557053","3.76721000671","899.930826187","2.23278999329","902.213598967","903.895621061","903.964853048","906.966144085","0","906.982443094","910.714127064",""
"sujeto_282108e8","1","1","12","12","910.850967169","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","1.86873412132","912.719740152","3.13126587868","916.038676023","4.41504096985","920.453780174","1.58495903015","922.088729143","923.461480141","923.539151192","926.542134047","0","926.557408094","929.332048178",""
"sujeto_282108e8","1","1","13","13","929.458886147","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","1.7188501358","931.177783012","3.2811498642","934.666742086","4.35001993179","939.016824007","1.64998006821","940.717477083","941.796663046","941.86849618","944.87014699","0","944.88529706","948.726159096",""
"sujeto_282108e8","1","1","14","14","948.870794058","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","1.53498697281","950.405825138","3.46501302719","954.025912046","3.40084290504","957.426815033","2.59915709496","960.076326132","961.534175158","961.611620188","964.614579201","1","964.628599167","972.401532173",""
"sujeto_282108e8","1","1","15","15","972.546271086","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","right","1.46247291565","974.00880909","3.53752708435","977.703760147","3.16396808624","980.867767096","2.83603191376","983.738288164","984.787077188","984.856462002","987.859395027","1","987.873336077","994.559712172",""
