"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_a90bad1a","1","1","1","1","643.290589094","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","left","2.20710110664","645.497756004","2.79289889336","648.460329056","4.14836597443","652.608737946","1.85163402557","654.498105049","655.526422024","655.599446058","658.600022078","0","658.616249084","660.778734922",""
"sujeto_a90bad1a","1","1","2","2","660.916954994","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","right","1.55375504494","662.470752954","3.44624495506","666.055737019","3.07397603989","669.129776955","2.92602396011","672.106365919","673.984427929","674.05844903","677.061455011","0","677.0755229","679.168282986",""
"sujeto_a90bad1a","1","1","3","3","679.294830084","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","1.85493516922","681.149830103","3.14506483078","684.465791941","2.71992897987","687.185765982","3.28007102013","690.515259981","692.126931906","692.20026207","695.203229904","1","695.218108892","699.4960289",""
"sujeto_a90bad1a","1","1","4","4","699.63676095","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.96500587463","701.601891041","3.03499412537","704.809316874","2.34641289711","707.155791044","3.65358710289","710.842423916","712.047169924","712.127640009","715.130574942","1","715.144551039","718.596021891",""
"sujeto_a90bad1a","1","1","5","5","718.731220961","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","1.2675049305","719.998769999","3.7324950695","723.869196892","2.85856509209","726.727824926","3.14143490791","729.902761936","731.424016953","731.503813982","734.506788015","1","734.522080898","741.558777094",""
"sujeto_a90bad1a","1","1","6","6","741.693231106","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","2.40846610069","744.101763964","2.59153389931","746.846816063","3.30787205696","750.154750109","2.69212794304","752.898489952","753.953332901","754.033237934","757.036113977","0","757.050271988","764.676861048",""
"sujeto_a90bad1a","1","1","7","7","764.805350065","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","1.40535593033","766.210777998","3.59464406967","769.942564964","2.88612890244","772.828763008","3.11387109756","775.993211985","777.857254982","777.92813611","780.931107998","1","780.945086956","786.706110001",""
"sujeto_a90bad1a","1","1","8","8","786.847831011","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","individual","left","1.30291008949","788.150783062","3.69708991051","792.021190882","3.12149810791","795.142750025","2.87850189209","798.071116924","799.515403032","799.555806875","802.558772087","0","802.572696924","808.672060966",""
"sujeto_a90bad1a","1","1","9","9","808.809681892","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.19208693504","810.001815081","3.80791306496","813.948323011","2.75834298134","816.7067101","3.24165701866","819.999065876","821.548557043","821.633730888","824.636715889","1","824.650865078","830.698148012",""
"sujeto_a90bad1a","1","1","10","10","830.819389105","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","left","3.4203081131","834.239764929","1.5796918869","835.959709883","4.05297899246","840.012732983","1.94702100754","842.011513948","843.579916","843.662558079","846.6655159","0","846.679708004","853.753334999",""
"sujeto_a90bad1a","1","1","11","11","853.900695086","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","individual","left","3.31904602051","857.219804049","1.68095397949","859.055321932","2.86535382271","861.920721054","3.13464617729","865.105381966","866.787424088","866.823731899","869.826698065","0","869.840878963","873.574167013",""
"sujeto_a90bad1a","1","1","12","12","873.743069887","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","right","2.60663986206","876.349752903","2.39336013794","878.898808002","1.99189186096","880.890743017","4.00810813904","884.948544025","886.321180105","886.40166688","889.404615879","0","889.418571949","892.193216085",""
"sujeto_a90bad1a","1","1","13","13","892.321496964","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","1.68324494362","894.004806042","3.31675505638","897.525420904","2.87833595276","900.403796911","3.12166404724","903.574779987","904.654018879","904.726417065","907.729419947","0","907.743565083","911.584048033",""
"sujeto_a90bad1a","1","1","14","14","911.714416027","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","1.52132105827","913.235779047","3.47867894173","916.852525949","2.69020295143","919.54279995","3.30979704857","922.902534962","924.36003089","924.437294006","927.4402771","1","927.454629898","935.227540016",""
"sujeto_a90bad1a","1","1","15","15","935.355525017","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","individual","right","2.82820701599","938.183777094","2.17179298401","940.511868","4.51187682152","945.02380991","1.48812317848","946.548145056","947.596894979","947.632534027","950.635503054","1","950.649410009","957.340034008",""
"sujeto_a90bad1a","1","1","16","16","957.484566927","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","individual","left","2.11720204353","959.601835966","2.88279795647","962.641591072","2.80717802048","965.448838949","3.19282197952","968.690974951","970.43095088","970.474726915","973.477685928","0","973.492822886","976.952045918",""
"sujeto_a90bad1a","1","1","17","17","977.07902503","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","individual","right","2.02123308182","979.100338936","2.97876691818","982.234845877","2.24583697319","984.480751038","3.75416302681","988.286068916","989.325005054","989.370982885","992.373960972","0","992.388742924","997.198421001",""
"sujeto_a90bad1a","1","1","18","18","997.327291965","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","individual","right","1.48641300201","998.813776016","3.51358699799","1002.46276808","3.48193311691","1005.94476795","2.51806688309","1008.51336098","1010.46948409","1010.514117","1013.51708007","0","1013.532305","1017.13207889",""
"sujeto_a90bad1a","1","1","19","19","1017.26722908","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","individual","right","1.86149001122","1019.12878609","3.13850998878","1022.43961692","3.52912688255","1025.96881509","2.47087311745","1028.48985195","1030.23397207","1030.27487087","1033.2760241","1","1033.29201508","1037.76645494",""
"sujeto_a90bad1a","1","1","20","20","1037.89501095","inverse","2","1","3","¿Qué civilización practicaba
 la momificación?","Grecia","Egipto","right","0","0","1","competitive","right","1.2182328701","1039.11333394","3.7817671299","1043.04736996","2.16538095474","1045.21282196","3.83461904526","1049.09809804","1051.03740311","1051.11721301","1054.12019205","1","1054.13459802","1058.36336589",""
"sujeto_a90bad1a","1","1","21","21","1058.50552392","direct","4","1","4","¿Cuántos millones de visitas
 recibe google por minuto?","3.0","4.5","","0","0","1","individual","right","2.28023290634","1060.78580499","2.71976709366","1063.65724587","4.15450191498","1067.81180811","1.84549808502","1069.711344","1071.226228","1071.26299405","1074.26596594","0","1074.27988195","1081.40001988",""
"sujeto_a90bad1a","1","1","22","22","1081.54838991","inverse","1","1","3","La máquina de fax. se inventó en:","1843","1960","","0","0","1","competitive","right","1.83434987068","1083.38280606","3.16565012932","1086.722507","2.3542330265","1089.07680106","3.6457669735","1092.77231693","1094.01443005","1094.09087491","1097.09205008","0","1097.10812688","1100.34404898",""
"sujeto_a90bad1a","1","1","23","23","1100.47664595","direct","2","1","4","En la verdadera historia de los
 300 espartanos. habían:","300 soldados","4300 soldados","","1","1","1","competitive","right","1.06910395622","1101.54579806","3.93089604378","1105.63216496","4.55456995964","1110.18677902","1.44543004036","1111.68348193","1112.94469309","1113.01676393","1116.01973701","1","1116.03467298","1119.83644009",""
"sujeto_a90bad1a","1","1","24","24","1119.96953201","inverse","1","1","4","¿Cuántos milímetros crece
 el pelo por día?","0.4","0.04","","0","0","0","competitive","right","1.28723883629","1121.25683808","3.71276116371","1125.12234807","3.0663831234","1128.18877506","2.9336168766","1131.17384005","1132.93455195","1133.00886798","1136.01185894","0","1136.02698493","1142.76207709",""
"sujeto_a90bad1a","1","1","25","25","1142.89811707","direct","4","1","1","¿Cuánto mide la baldosa gris 
clásica de Montevideo?","22x22 cm.","20x20 cm.","","1","1","1","individual","left","1.90768909454","1144.80587006","3.09231090546","1148.1031251","3.75460004807","1151.85776401","2.24539995193","1154.15545988","1156.15067792","1156.1894691","1159.19246006","1","1159.20660305","1164.74940801",""
"sujeto_a90bad1a","1","1","26","26","1164.87518907","inverse","2","1","2","¿Cuántas películas de rápidos
 y furiosos hay?","10","11","","1","1","0","competitive","left","2.77857804298","1167.65381289","2.22142195702","1170.04759002","1.99015188217","1172.03780508","4.00984811783","1176.09860492","1177.45657992","1177.5339241","1180.53690791","1","1180.55093908","1182.58562708",""
"sujeto_a90bad1a","1","1","27","27","1182.71946406","direct","3","1","1","¿Cuántos masters 1000
 ganó Del Potro?","1","2","","1","1","1","individual","right","1.84028100967","1184.55981898","3.15971899033","1187.87488008","3.65187001228","1191.52681494","2.34812998772","1193.92399096","1195.67856908","1195.72529888","1198.7282691","1","1198.74333811","1206.13967204",""
"sujeto_a90bad1a","1","1","28","28","1206.26084995","inverse","2","1","4","¿Cuántos meses dura el 
embarazo de una leona?","3 meses","4 meses","","0","0","1","competitive","right","1.62293505669","1207.88385296","3.37706494331","1211.40339708","2.35436201096","1213.75779891","3.64563798904","1217.4530251","1218.56405997","1218.63896108","1221.64194298","0","1221.65588403","1228.37840199",""
