"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_d72d8a7c","1","1","1","1","656.099725962","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","3.97054505348","660.070338011","1.02945494652","661.254541874","4.4697599411","665.724372864","1.5302400589","667.305478811","668.333745956","668.406185865","671.409135818","0","671.423017979","673.585551023",""
"sujeto_d72d8a7c","1","1","2","2","673.726614952","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","3.48270201683","677.209360838","1.51729798317","678.87962389","4.25771021843","683.137372971","1.74228978157","684.931775808","686.809791803","686.88220787","689.885138988","0","689.900346994","691.993134975",""
"sujeto_d72d8a7c","1","1","3","3","692.133761883","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","2.47857880592","694.612402916","2.52142119408","697.289366007","4.1710319519","701.460443974","1.8289680481","703.340902805","704.952575922","705.025062799","708.028028011","1","708.042051792","712.32040596",""
"sujeto_d72d8a7c","1","1","4","4","712.448081017","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","3.28437709808","715.732500792","1.71562290192","717.597697973","2.21975207329","719.817514896","3.78024792671","723.65069294","724.855439901","724.935537815","727.938483","1","727.952519894","731.406435013",""
"sujeto_d72d8a7c","1","1","5","5","731.538074017","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","individual","right","2.99138402939","734.529527903","2.00861597061","736.692932844","4.77353191376","741.466502905","1.22646808624","742.744812965","744.266201973","744.311570883","747.314543009","1","747.329691887","754.366369009",""
"sujeto_d72d8a7c","1","1","6","6","754.501106977","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","1.7943341732","756.29548502","3.2056658268","759.655372858","5.83713984489","765.492553949","0.162860155106","765.707269907","766.762103796","766.840086937","769.843070984","0","769.857150793","777.483741999",""
"sujeto_d72d8a7c","1","1","7","7","777.60875392","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","individual","right","3.36475777626","780.973550797","1.63524222374","782.766660929","4.7639708519","787.530690908","1.2360291481","788.802164793","790.666200876","790.702354908","793.705339909","1","793.719485998","799.48048687",""
"sujeto_d72d8a7c","1","1","8","8","799.622264862","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","2.38445401192","802.006770849","2.61554598808","804.793524981","3.40215611458","808.19572401","2.59784388542","810.846174002","812.29042387","812.364143848","815.367110014","0","815.381043911","821.479762793",""
"sujeto_d72d8a7c","1","1","9","9","821.619217873","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","2.61747097969","824.23673296","2.38252902031","826.787405968","4.80128288269","831.588728905","1.19871711731","832.841418982","834.390906811","834.458653927","837.461581945","1","837.47645402","843.523752928",""
"sujeto_d72d8a7c","1","1","10","10","843.648502827","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","","4.13924789429","847.787813902","0.860752105713","848.785712957","6","854.785856962","0","854.803263903","856.371680021","856.453493834","859.456413984","0","859.471009016","866.544627905",""
