"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_c730bc55","1","1","1","1","64.929142952","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","2.67610812187","67.6052939892","2.32389187813","70.1322879791","4.50903010368","74.6413960457","1.49096989632","76.1853120327","77.2136089802","77.2856879234","80.2886428833","0","80.3033919334","82.4659259319",""
"sujeto_c730bc55","1","1","2","2","82.620923996","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","1.25545811653","83.8764519691","3.74454188347","87.7911820412","4.26030302048","92.0515248775","1.73969697952","93.8260388374","95.7040820122","95.7773399353","98.7803399563","0","98.7950308323","100.88776803",""
"sujeto_c730bc55","1","1","3","3","101.029727936","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","1.61591815948","102.645718813","3.38408184052","106.18561101","3.81800818443","110.003657818","2.18199181557","112.236825943","113.84849","113.920817852","116.922855854","1","116.938292027","121.216614008",""
"sujeto_c730bc55","1","1","4","4","121.373461962","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","2.32436800003","123.697898865","2.67563199997","126.529705048","3.53710412979","130.066876888","2.46289587021","132.580672026","133.785446882","133.864850998","136.867789984","1","136.882169962","140.336107969",""
"sujeto_c730bc55","1","1","5","5","140.483883858","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","1.97310304642","142.457031012","3.02689695358","145.640489817","3.10455298424","148.745088816","2.89544701576","151.687764883","153.209149837","153.288913965","156.291908026","1","156.306565046","163.343271017",""
"sujeto_c730bc55","1","1","6","6","163.491770029","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","1.72340202332","165.215214014","3.27659797668","168.652446985","4.39480113983","173.047292948","1.60519886017","174.68641305","175.741210938","175.820663929","178.823633909","0","178.838214874","186.464804888",""
"sujeto_c730bc55","1","1","7","7","186.60648489","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","1.35996294022","187.966490984","3.64003705978","191.763923883","4.90757083893","196.671540976","1.09242916107","197.798012972","199.66205287","199.732292891","202.735292912","1","202.750146866","208.506906033",""
"sujeto_c730bc55","1","1","8","8","208.66879797","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","1.92691516876","210.59580183","3.07308483124","213.857429981","3.10232400894","216.959823847","2.89767599106","219.909723043","221.354060888","221.427179813","224.43016386","0","224.445425034","230.544773817",""
"sujeto_c730bc55","1","1","9","9","230.67956686","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.48730301857","232.166915894","3.51269698143","235.83743","3.97443294525","239.811903","2.02556705475","241.887729883","243.437278032","243.52106595","246.522876978","1","246.539403915","252.586709976",""
"sujeto_c730bc55","1","1","10","10","252.724508047","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","left","1.57262587547","254.297178984","3.42737412453","257.879958868","5.75220584869","263.632208824","0.247794151306","263.932322979","265.500789881","265.582259893","268.585250854","0","268.59995389","275.673590899",""
"sujeto_c730bc55","1","1","11","11","275.817610025","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","left","1.68472099304","277.502374887","3.31527900696","280.977248907","4.44912600517","285.426416874","1.55087399483","287.029026985","288.711086988","288.795917034","291.798902988","0","291.81357789","295.546893835",""
"sujeto_c730bc55","1","1","12","12","295.698474884","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","right","1.74401783943","297.44253397","3.25598216057","300.853582859","3.76997804642","304.623622894","2.23002195358","306.905856848","308.278592825","308.356524944","311.359484911","0","311.372781992","314.147433043",""
"sujeto_c730bc55","1","1","13","13","314.289989948","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","1.78665184975","316.076706886","3.21334815025","319.446666002","5.12006616592","324.566781044","0.879933834076","325.549398899","326.628608942","326.700140953","329.703114986","0","329.717391014","333.558413982",""
"sujeto_c730bc55","1","1","14","14","333.702270031","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","1.11960196495","334.821965933","3.88039803505","338.874294043","3.90364813805","342.777983904","2.09635186195","344.924990892","346.382809877","346.459380865","349.46238184","1","349.47713089","357.249833822",""
"sujeto_c730bc55","1","1","15","15","357.394762039","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","right","1.68733310699","359.082140923","3.31266689301","362.569593906","4.91854596138","367.488209963","1.08145403862","368.621471882","369.670289993","369.754308939","372.757280827","1","372.771116972","379.461990833",""
"sujeto_c730bc55","1","1","16","16","379.605952024","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","competitive","left","1.07532215118","380.681339025","3.92467784882","384.764755011","4.92663311958","389.691449881","1.07336688042","390.815872908","392.55586791","392.633574009","395.63656497","0","395.650964975","399.111502886",""
"sujeto_c730bc55","1","1","17","17","399.252115965","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","competitive","right","2.01133513451","401.263495922","2.98866486549","404.425071001","3.34945416451","407.77458787","2.65054583549","410.476698875","411.514909029","411.594769955","414.597789049","0","414.611987829","419.421658993",""
"sujeto_c730bc55","1","1","18","18","419.562755823","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","individual","right","2.20595192909","421.768774986","2.79404807091","424.719523907","4.39719295502","429.116783857","1.60280704498","430.75227499","432.708413839","432.753365993","435.756335974","0","435.771178007","439.373697996",""
"sujeto_c730bc55","1","1","19","19","439.522604942","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","competitive","right","2.30826377869","441.830935001","2.69173622131","444.693500996","3.36441206932","448.057981014","2.63558793068","450.730332851","452.473786831","452.548403025","455.551370859","1","455.566879988","460.041312933",""
"sujeto_c730bc55","1","1","20","20","460.184576988","inverse","2","1","3","¿Qué civilización practicaba
 la momificación?","Grecia","Egipto","right","0","0","1","competitive","right","1.61653614044","461.801187992","3.38346385956","465.357620955","3.86754989624","469.225239992","2.13245010376","471.408421993","473.347735882","473.426287889","476.42927289","1","476.443678856","480.672472",""
"sujeto_c730bc55","1","1","21","21","480.812280893","direct","4","1","4","¿Cuántos millones de visitas
 recibe google por minuto?","3.0","4.5","","0","0","1","competitive","right","1.86603188515","482.67835784","3.13396811485","486.000298977","4.47305011749","490.473392963","1.52694988251","492.050403833","493.565254927","493.651259899","496.654247046","0","496.668047905","503.790742874",""
"sujeto_c730bc55","1","1","22","22","503.919646025","inverse","1","1","3","La máquina de fax. se inventó en:","1843","1960","","0","0","1","competitive","right","1.77985715866","505.699546814","3.22014284134","509.080018044","3.75659608841","512.836676836","2.24340391159","515.131718874","516.37381196","516.449201822","519.452216864","0","519.465952873","522.702265978",""
"sujeto_c730bc55","1","1","23","23","522.851642847","direct","2","1","4","En la verdadera historia de los
 300 espartanos. habían:","300 soldados","4300 soldados","","1","1","1","competitive","","1.77707505226","524.628819942","3.22292494774","528.039206982","6","534.039374828","0","534.05683589","535.318080902","535.39209795","538.395094872","0","538.409659863","542.211427927",""
"sujeto_c730bc55","1","1","24","24","542.361802816","inverse","1","1","4","¿Cuántos milímetros crece
 el pelo por día?","0.4","0.04","","0","0","0","competitive","right","1.5400531292","543.901923895","3.4599468708","547.516357899","3.46555185318","550.98197794","2.53444814682","553.566001892","555.326779842","555.399790049","558.402779818","0","558.418282032","565.153378963",""
"sujeto_c730bc55","1","1","25","25","565.285974026","direct","4","1","1","¿Cuánto mide la baldosa gris 
clásica de Montevideo?","22x22 cm.","20x20 cm.","","1","1","1","individual","left","2.02111911774","567.307137966","2.97888088226","570.460921049","5.22922205925","575.690187931","0.77077794075","576.514484882","578.509799004","578.564437866","581.56741786","1","581.582193851","587.125011921",""
"sujeto_c730bc55","1","1","26","26","587.267726898","inverse","2","1","2","¿Cuántas películas de rápidos
 y furiosos hay?","10","11","","1","1","0","competitive","right","2.03457784653","589.302369833","2.96542215347","592.439100027","3.52224302292","595.96138382","2.47775697708","598.491158962","599.849197865","599.924892902","602.927876949","1","602.941582918","604.976250887",""
"sujeto_c730bc55","1","1","27","27","605.126991034","direct","3","1","1","¿Cuántos masters 1000
 ganó Del Potro?","1","2","","1","1","1","individual","right","1.68850302696","606.815562963","3.31149697304","610.282474995","4.29001808167","614.572556019","1.70998191833","616.334499836","618.089113951","618.135138035","621.138103962","1","621.152473927","628.548835039",""
"sujeto_c730bc55","1","1","28","28","628.720077038","inverse","2","1","4","¿Cuántos meses dura el 
embarazo de una leona?","3 meses","4 meses","","0","0","1","competitive","right","1.46653199196","630.186652899","3.53346800804","633.877626896","4.92913389206","638.806814909","1.07086610794","639.928349972","641.039400816","641.112306833","644.11529994","0","644.129683018","650.852141857",""
