code,nro_aplicante,nro_bloque,nro_trial_bloque,nro_trial_global,show_game_type,choice_order,rival,pay_individual,pay_competitive,question,answer_left_text,answer_right_text,correct_answer,outcome_individual,outcome_competitive,outcome_rival,game_type,answer,social_time,rt_game_type,feedback_delay,show_question,answer_time,rt_answer_global,feedback_delay_2,show_jitter,jitter_time,show_outcome,outcome_time,outcome_participant_real,show_final_jitter,second_jitter_time,inicio_descanso
sujeto_80570e8a,1,1,1,1,641.306083918,direct,3,1,4,"¿Cuántos centímetros corresponden
al talle 36 del calzado?",23,24,,0,0,1,competitive,right,2.48189687729,643.788052082,2.51810312271,646.477479935,5.12444186211,651.601990938,0.875558137894,652.530647993,653.558887005,653.630759001,656.633739948,0,656.648411989,658.810945034,
sujeto_80570e8a,1,1,2,2,658.93293786,inverse,3,1,2,"¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ",84,78,,0,0,1,competitive,right,1.34203410149,660.275019884,3.65796589851,664.071544886,3.99342989922,668.065032959,2.00657010078,670.106154919,671.984195948,672.073643923,675.076629877,0,675.090597868,677.183352947,
sujeto_80570e8a,1,1,3,3,677.326334953,direct,1,1,3,"¿Cuántas La Pasiva
 hay en uruguay?",15,11,,1,1,1,competitive,left,1.66760587692,678.994003057,3.33239412308,682.481029034,4.15187811852,686.632972002,1.84812188148,688.530030012,690.141718864,690.214010954,693.216994047,1,693.231513023,697.509834051,
sujeto_80570e8a,1,1,4,4,697.650424957,inverse,3,1,3,¿De que color es la camiseta de uruguay?,blanca,celeste,right,1,1,1,competitive,right,1.62948703766,699.279957056,3.37051296234,702.789795876,2.795140028,705.585000992,3.204859972,708.82575202,710.030494928,710.110020876,713.112979889,1,713.127182961,716.581094027,
sujeto_80570e8a,1,1,5,5,716.71249485,direct,2,1,1,"¿Cuánto metros mide
la torre Eiffel?",333,324,,1,1,1,competitive,left,1.51748108864,718.230043888,3.48251891136,721.867965937,2.88800096512,724.756025076,3.11199903488,727.91793704,729.43927598,729.519464016,732.521548033,1,732.536576986,739.573282003,
sujeto_80570e8a,1,1,6,6,739.738185883,inverse,3,1,4,"¿Cuantas ciudades existen
 en todo el uruguay?",63,72,,0,0,1,competitive,right,1.26581001282,741.004039049,3.73418998718,744.892261982,2.82970619202,747.72200489,3.17029380798,750.925687075,751.980509043,752.060808897,755.061538935,0,755.077785969,762.701551914,
sujeto_80570e8a,1,1,7,7,762.830242872,direct,1,1,1,¿Cuantos estados tiene África?,52,54,,1,1,0,competitive,right,1.44673085213,764.277014971,3.55326914787,767.972970963,3.43295192719,771.405982018,2.56704807281,774.023562908,775.887567997,775.958708048,778.961698055,1,778.975930929,784.73694706,
sujeto_80570e8a,1,1,8,8,784.877668858,inverse,4,1,4,"¿En qué año nació
 Stephen Hawking?",1952,1942,,0,0,1,competitive,left,1.12037110329,785.99810791,3.87962889671,790.052768946,3.83321285248,793.886045933,2.16678714752,796.10393095,797.548244953,797.620920897,800.623869896,0,800.639237881,806.738586903,
sujeto_80570e8a,1,1,9,9,806.873663902,direct,2,1,3,"¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?",56,57,,1,1,1,competitive,left,1.30434608459,808.17808485,3.69565391541,812.031382084,3.63360905647,815.665058851,2.36639094353,818.081234932,819.630748987,819.716832876,822.717553854,1,822.733669996,828.78093791,
sujeto_80570e8a,1,1,10,10,828.918653011,inverse,1,1,2,"¿Cuantos milímetros 
mide una hoja A2?",420x592,420x594,,0,0,1,competitive,left,1.27536606789,830.194092989,3.72463393211,834.074943066,4.72501015663,838.799992085,1.27498984337,840.109668016,841.677548885,841.760247946,844.763221025,0,844.778239012,851.85185194,
