"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_774f4a36","1","1","1","1","574.818078041","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","1.95097589493","576.769115925","3.04902410507","579.997950077","4.7121322155","584.710128069","1.2878677845","586.03352499","587.061836958","587.133575916","590.136544943","0","590.15094614","592.313477993",""
"sujeto_774f4a36","1","1","2","2","592.486037016","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","1.80032682419","594.286428928","3.19967317581","597.656582117","4.13281106949","601.789451122","1.86718893051","603.708751917","605.585309029","605.65982008","608.661273956","0","608.677417994","610.770180941",""
"sujeto_774f4a36","1","1","3","3","610.911759138","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","right","3.22581601143","614.137638092","1.77418398857","616.067187071","3.29949808121","619.366744995","2.70050191879","622.10175395","623.713444948","623.78539896","626.788402081","1","626.802617073","631.077224016",""
"sujeto_774f4a36","1","1","4","4","631.204715014","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","3.12518501282","634.329963923","1.87481498718","636.360490084","3.20550704002","639.566056967","2.79449295998","642.412003994","643.61680913","643.697344065","646.700258017","1","646.714216948","650.168082952",""
"sujeto_774f4a36","1","1","5","5","650.299289942","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","1.81990003586","652.119234085","3.18009996414","655.470255136","4.26891112328","659.73921895","1.73108887672","661.523209095","663.044559956","663.124242067","666.125239134","1","666.141479969","673.177295923",""
"sujeto_774f4a36","1","1","6","6","673.30893302","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","1.59450292587","674.903474092","3.40549707413","678.483526945","4.15302109718","682.636584997","1.84697890282","684.53472209","685.589523077","685.66801095","688.670994043","0","688.685334921","696.31192112",""
"sujeto_774f4a36","1","1","7","7","696.470752954","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","4.7951669693","701.265963078","0.204833030701","701.628005981","4.98094701767","706.609014988","1.01905298233","707.664346933","709.528362036","709.598554134","712.601526022","1","712.615561962","718.373220921",""
"sujeto_774f4a36","1","1","8","8","718.517203093","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","2.24098205566","720.758249044","2.75901794434","723.674801111","4.8265171051","728.501363039","1.1734828949","729.709309101","731.153176069","731.227086067","734.230092049","0","734.243993044","740.34127903",""
"sujeto_774f4a36","1","1","9","9","740.481912136","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","2.08459210396","742.566566944","2.91540789604","745.65070796","4.24486708641","749.895620108","1.75513291359","751.687299013","753.236818075","753.321741104","756.324693918","1","756.338680029","762.385185957",""
"sujeto_774f4a36","1","1","10","10","762.524049044","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","2.69876217842","765.222872019","2.30123782158","767.712244034","5.93368196487","773.645969152","0.0663180351257","773.76641202","775.334820032","775.416768074","778.419755936","0","778.434127092","785.507784128",""
"sujeto_774f4a36","1","1","11","11","785.652065039","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","individual","left","1.77801179886","787.430123091","3.22198820114","790.826344013","4.69982981682","795.526217937","1.30017018318","796.877615929","798.559665918","798.595334053","801.598264933","0","801.611485004","805.344789982",""
"sujeto_774f4a36","1","1","12","12","805.478486061","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","right","1.94592213631","807.424479961","3.05407786369","810.636431932","4.73297691345","815.369449139","1.26702308655","816.688107014","818.060851097","818.139646053","821.141307116","0","821.156340122","823.930984974",""
"sujeto_774f4a36","1","1","13","13","824.074893951","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","","2.00871896744","826.08368206","2.99128103256","829.229892969","6","835.230021","0","835.245828152","836.325037956","836.448539972","839.451534986","0","839.465963125","843.306983948",""
"sujeto_774f4a36","1","1","14","14","843.450897932","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","1.70994210243","845.160902977","3.29005789757","848.607239008","3.98766303062","852.594959974","2.01233696938","854.658432007","856.116204977","856.192278147","859.195269108","1","859.20946002","866.98239994",""
"sujeto_774f4a36","1","1","15","15","867.127994061","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","right","1.48814296722","868.616207123","3.51185703278","872.285702944","4.06256890297","876.348313093","1.93743109703","878.320181131","879.369009972","879.454842091","882.457826138","1","882.471004963","889.161833048",""
"sujeto_774f4a36","1","1","16","16","889.290207148","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","individual","left","2.87724304199","892.167494059","2.12275695801","894.446593046","3.96688985825","898.413524151","2.03311014175","900.49910593","902.239086151","902.283025026","905.285974979","0","905.300873995","908.761268139",""
"sujeto_774f4a36","1","1","17","17","908.903226137","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","competitive","left","1.90149211884","910.804762125","3.09850788116","914.091328144","4.96147012711","919.052859068","1.03852987289","920.12582612","921.164812088","921.243049145","924.246034145","0","924.260210991","929.069874048",""
"sujeto_774f4a36","1","1","18","18","929.24486804","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","individual","right","2.25306510925","931.497976065","2.74693489075","934.400428057","4.38163518906","938.782104015","1.61836481094","940.437446117","942.393568039","942.437367916","945.440346956","0","945.455496073","949.058043003",""
"sujeto_774f4a36","1","1","19","19","949.20640111","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","competitive","left","1.67378902435","950.880255938","3.32621097565","954.362067938","3.77215099335","958.134259939","2.22784900665","960.413448095","962.157191038","962.230438948","965.233204126","1","965.248148918","969.722548962",""
"sujeto_774f4a36","1","1","20","20","969.866774082","inverse","2","1","3","¿Qué civilización practicaba
 la momificación?","Grecia","Egipto","right","0","0","1","competitive","right","1.77168107033","971.638499022","3.22831892967","975.038608074","4.31989002228","979.358538151","1.68010997772","981.092005968","983.031342983","983.109089136","986.109280109","1","986.126524925","990.35326004",""
"sujeto_774f4a36","1","1","21","21","990.495368958","direct","4","1","4","¿Cuántos millones de visitas
 recibe google por minuto?","3.0","4.5","","0","0","1","competitive","right","1.44933485985","991.944747925","3.55066514015","995.649119139","4.64564299583","1000.29482198","1.35435700417","1001.70023608","1003.21508598","1003.30136895","1006.30436301","0","1006.31861901","1013.44130492",""
"sujeto_774f4a36","1","1","22","22","1013.57010102","inverse","1","1","3","La máquina de fax. se inventó en:","1843","1960","","0","0","1","competitive","right","3.11990380287","1016.69006705","1.88009619713","1018.71259499","4.21239900589","1022.92505312","1.78760099411","1024.74777913","1025.98989415","1026.06540608","1029.06833196","0","1029.082515","1032.31882",""
"sujeto_774f4a36","1","1","23","23","1032.46790504","direct","2","1","4","En la verdadera historia de los
 300 espartanos. habían:","300 soldados","4300 soldados","","1","1","1","competitive","","2.04831719398","1034.516289","2.95168280602","1037.6232481","6","1043.6233871","0","1043.64002299","1044.90119696","1044.975739","1047.97725892","0","1047.99224997","1051.7940371",""
"sujeto_774f4a36","1","1","24","24","1051.92715693","inverse","1","1","4","¿Cuántos milímetros crece
 el pelo por día?","0.4","0.04","","0","0","0","competitive","left","1.69922590256","1053.62644792","3.30077409744","1057.08278704","4.4697368145","1061.55256414","1.5302631855","1063.13189507","1064.89262414","1064.96698713","1067.96997213","0","1067.98415709","1074.71924806",""
"sujeto_774f4a36","1","1","25","25","1074.85204101","direct","4","1","1","¿Cuánto mide la baldosa gris 
clásica de Montevideo?","22x22 cm.","20x20 cm.","","1","1","1","individual","left","1.95873093605","1076.8108511","3.04126906395","1080.02886796","5.24284386635","1085.27177215","0.757156133652","1086.06445003","1088.05968595","1088.09752107","1091.10049295","1","1091.11480498","1096.65764308",""
"sujeto_774f4a36","1","1","26","26","1096.79979014","inverse","2","1","2","¿Cuántas películas de rápidos
 y furiosos hay?","10","11","","1","1","0","competitive","right","2.42014789581","1099.22000194","2.57985210419","1101.96794105","3.72402977943","1105.69203115","2.27597022057","1108.02446795","1109.38248706","1109.45894194","1112.46185994","1","1112.47618008","1114.5092361",""
"sujeto_774f4a36","1","1","27","27","1114.64453793","direct","3","1","1","¿Cuántos masters 1000
 ganó Del Potro?","1","2","","1","1","1","individual","right","1.58260297775","1116.22720408","3.41739702225","1119.79996204","3.7642519474","1123.56427193","2.2357480526","1125.85018206","1127.60477304","1127.65090513","1130.653234","1","1130.66927814","1138.06524515",""
