"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_52c54ab9","1","1","1","1","523.610420942","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24",,"0","0","1","competitive","right","1.78949904442","525.399982929","3.21050095558","528.780034065","4.98591804504","533.766021013","1.01408195496","534.831712961","535.859944105","535.931699991","538.934695005","0","538.949398041","541.111913919",
"sujeto_52c54ab9","1","1","2","2","541.26722312","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78",,"0","0","1","competitive","right","1.39892911911","542.66621995","3.60107088089","546.437052011","4.56110715866","550.998219013","1.43889284134","552.473335028","554.351341009","554.423762083","557.426738024","0","557.442060947","559.534821987",
"sujeto_52c54ab9","1","1","3","3","559.676325083","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11",,"1","1","1","competitive","right","1.53001308441","561.206413984","3.46998691559","564.832621098","4.51977801323","569.352463961","1.48022198677","570.883669138","572.495244026","572.567825079","575.570796013","1","575.585457087","579.863795996",
"sujeto_52c54ab9","1","1","4","4","580.003962994","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.19355082512","581.197591066","3.80644917488","585.159889936","2.59668397903","587.756616116","3.40331602097","591.210556984","592.415321112","592.494436026","595.497424126","1","595.511765003","598.965654135",
"sujeto_52c54ab9","1","1","5","5","599.114126921","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324",,"1","1","1","competitive","left","1.17874097824","600.292961121","3.82125902176","604.300697088","2.76313519478","607.063895941","3.23686480522","610.335700035","611.857044935","611.937263966","614.940256119","1","614.955472946","621.992171049",
"sujeto_52c54ab9","1","1","6","6","622.122537136","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72",,"0","0","1","competitive","right","1.05163502693","623.174277067","3.94836497307","627.280808926","3.07426786423","630.355135918","2.92573213577","633.330491066","634.385281086","634.465261936","637.468248129","0","637.482836962","645.109426975",
"sujeto_52c54ab9","1","1","7","7","645.251682043","direct","1","1","1","¿Cuantos estados tiene África?","52","54",,"1","1","0","competitive","right","2.02961277962","647.281342983","2.97038722038","650.42526412","2.59807610512","653.023402929","3.40192389488","656.460782051","658.324820995","658.413717031","661.41666007","1","661.431406975","667.192384005",
"sujeto_52c54ab9","1","1","8","8","667.349415064","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942",,"0","0","1","competitive","left","1.17411899567","668.523576975","3.82588100433","672.506055117","3.46850514412","675.974620104","2.53149485588","678.556123018","680.000255108","680.073939085","683.076879025","0","683.091360092","689.190670967",
"sujeto_52c54ab9","1","1","9","9","689.326533079","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57",,"1","1","1","competitive","left","1.11123895645","690.437819004","3.88876104355","694.500364065","3.52244210243","698.022866011","2.47755789757","700.551033974","702.100553036","702.186136007","705.189094067","1","705.203426123","711.250776052",
"sujeto_52c54ab9","1","1","10","10","711.390304089","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594",,"0","0","1","competitive","right","1.40172100067","712.792094946","3.59827899933","716.560219049","4.02487277985","720.585134029","1.97512722015","722.595493078","724.163949966","724.246532917","727.249495983","0","727.264117002","734.334271908",
