"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_dccc88fd","1","1","1","1","24.2427577972","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","3.55924105644","27.8020629883","1.44075894356","29.4140658379","5.97996497154","35.3941078186","0.0200350284576","35.44942379","36.4777219296","36.5491859913","39.552164793","0","39.5659518242","41.728500843",""
"sujeto_dccc88fd","1","1","2","2","41.8848068714","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","2.23717403412","44.1220228672","2.76282596588","47.0406248569","5.19247484207","52.2331409454","0.807525157928","53.0740509033","54.9518489838","55.0245189667","58.0274949074","0","58.0420248508","60.1347949505",""
"sujeto_dccc88fd","1","1","3","3","60.2768099308","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","right","3.3423640728","63.6192448139","1.6576359272","65.4308998585","4.46231102943","69.893255949","1.53768897057","71.4671788216","73.0788588524","73.1511747837","76.1538329124","1","76.1684398651","80.4467818737",""
"sujeto_dccc88fd","1","1","4","4","80.5867698193","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","3.19354200363","83.7803778648","1.80645799637","85.7599329948","2.81942009926","88.5794239044","3.18057990074","91.810461998","93.0151798725","93.0953888893","96.0983378887","1","96.1061418056","99.5600609779",""
"sujeto_dccc88fd","1","1","5","5","99.7078979015","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","individual","right","2.1515390873","101.859502792","2.8484609127","104.868045807","4.14544200897","109.013556004","1.85455799103","110.904609919","112.425963879","112.471917868","115.474897861","1","115.489151955","122.525852919",""
"sujeto_dccc88fd","1","1","6","6","122.674392939","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","2.07920503616","124.753641844","2.92079496384","127.831723928","3.8478372097","131.679605961","2.1521627903","133.883238792","134.937752008","135.01678586","138.019762993","0","138.03430891","145.660813808",""
"sujeto_dccc88fd","1","1","7","7","145.819386959","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","individual","left","1.91135001183","147.730846882","3.08864998817","150.974802971","3.40390706062","154.378748894","2.59609293938","157.026385784","158.89041996","158.927839994","161.930794001","1","161.945261002","167.706287861",""
"sujeto_dccc88fd","1","1","8","8","167.848481894","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","2.56836986542","170.416917801","2.43163013458","173.020226955","4.08364915848","177.103920937","1.91635084152","179.073499918","180.517793894","180.590114832","183.593092918","0","183.607778788","189.707144976",""
"sujeto_dccc88fd","1","1","9","9","189.859483957","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","right","2.13758206367","191.997111797","2.86241793633","195.0324049","4.22058391571","199.253051996","1.77941608429","201.084306002","202.633828878","202.718580961","205.721583843","1","205.736881018","211.784185886",""
"sujeto_dccc88fd","1","1","10","10","211.920879841","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","2.56225681305","214.483179808","2.43774318695","217.112135887","5.00406980515","222.116266012","0.995930194855","223.163477898","224.731920958","224.813907862","227.816898823","0","227.831140995","234.904788017",""
