"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_225a39e1","1","1","1","1","25.6579499245","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","4.96858215332","30.6266019344","0.0314178466797","30.8425891399","4.21207904816","35.0547151566","1.78792095184","36.8797841072","37.908080101","37.9800450802","40.9830269814","0","40.9979259968","43.1604509354",""
"sujeto_225a39e1","1","1","2","2","43.3000741005","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","1.33660793304","44.6367321014","3.66339206696","48.4543530941","4.76922512054","53.2236361504","1.23077487946","54.5056500435","56.3836770058","56.4558780193","59.4586839676","0","59.474148035","61.5669159889",""
"sujeto_225a39e1","1","1","3","3","61.708892107","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","2.08575415611","63.7947149277","2.91424584389","66.8654711246","4.29913902283","71.1646671295","1.70086097717","72.9154160023","74.5271151066","74.6000430584","77.603012085","1","77.617246151","81.8955719471",""
"sujeto_225a39e1","1","1","4","4","82.0349969864","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","2.95569992065","84.9907431602","2.04430007935","87.2044970989","3.84414219856","91.0486810207","2.15585780144","93.2424769402","94.4472439289","94.5263381004","97.5293221474","1","97.5437719822","100.997689962",""
"sujeto_225a39e1","1","1","5","5","101.14529705","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","2.92839884758","104.073760986","2.07160115242","106.314600945","4.7230360508","111.037676096","1.2769639492","112.36907196","113.890465975","113.969387054","116.97238493","1","116.987810135","124.024497986",""
"sujeto_225a39e1","1","1","6","6","124.172426939","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","1.72923994064","125.901711941","3.27076005936","129.329874039","5.43175601959","134.761671066","0.568243980408","135.38072896","136.435508013","136.514641047","139.51760006","0","139.531813145","147.158419132",""
"sujeto_225a39e1","1","1","7","7","147.316745996","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","2.82494187355","150.141740084","2.17505812645","152.472413063","4.89424490929","157.36669898","1.10575509071","158.508589029","160.372569084","160.442712069","163.445686102","1","163.460166931","169.221200943",""
"sujeto_225a39e1","1","1","8","8","169.362141132","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","3.72440505028","173.086611032","1.27559494972","174.534857035","5.2808470726","179.815744162","0.719152927399","180.584900141","182.028664112","182.102689981","185.105683088","0","185.120355129","191.219727993",""
"sujeto_225a39e1","1","1","9","9","191.355020046","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","right","1.64857411385","193.003639936","3.35142588615","196.51393795","5.6747469902","202.188746929","0.325253009796","202.549040079","204.098526955","204.182551146","207.184638977","1","207.200354099","213.247606039",""
"sujeto_225a39e1","1","1","10","10","213.383844137","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","","2.50287699699","215.886821032","2.49712300301","218.556978941","6","224.557129145","0","224.576797009","226.145229101","226.227813959","229.230811119","0","229.245708942","236.319357157",""
"sujeto_225a39e1","1","1","11","11","236.463380098","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","left","1.92735719681","238.39081502","3.07264280319","241.620428085","4.2271361351","245.847605944","1.7728638649","247.654336929","249.336405993","249.421529055","252.424507141","0","252.440006971","256.173304081",""
"sujeto_225a39e1","1","1","12","12","256.324397087","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","2.0672750473","258.391716003","2.9327249527","261.47886014","3.73980808258","265.218708038","2.26019191742","267.529371023","268.902091026","268.980517149","271.983492136","0","271.998111963","274.772711039",""
"sujeto_225a39e1","1","1","13","13","274.916810036","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","1.0848698616","276.001742125","3.9151301384","280.073508978","4.97813892365","285.051708937","1.02186107635","286.124763966","287.203999043","287.275357008","290.27837801","0","290.293061972","294.134078026",""
"sujeto_225a39e1","1","1","14","14","294.310894012","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","1.5237839222","295.834718943","3.4762160778","299.450242043","4.56738591194","304.017668009","1.43261408806","305.501388073","306.95919013","307.035329103","310.038326979","1","310.05321002","317.826147079",""
"sujeto_225a39e1","1","1","15","15","317.970864058","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","right","2.2118229866","320.182729959","2.7881770134","323.127264977","5.16534304619","328.292668104","0.834656953812","329.164144039","330.212929964","330.298439026","333.301450014","1","333.315611124","340.006484032",""
"sujeto_225a39e1","1","1","16","16","340.15883112","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","competitive","right","3.02786517143","343.186738968","1.97213482857","345.322134018","4.04252886772","349.364704132","1.95747113228","351.355899096","353.095909119","353.1736691","356.176650047","0","356.191015005","359.651520967",""
