"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_e9306fb7","2","1","1","1","63.7570009232","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","","","","","","","","","","","","","","","68.7800989151","70.9426000118",""
"sujeto_e9306fb7","2","1","2","2","71.0800719261","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","3.83528804779","74.9154210091","1.16471195221","76.2337958813","3.2755818367","79.5094149113","2.7244181633","82.2858178616","84.1638469696","84.2367129326","87.2396469116","0","87.2539179325","89.3466339111",""
"sujeto_e9306fb7","2","1","3","3","89.4736340046","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","2.0310280323","91.5047059059","2.9689719677","94.6265318394","3.74830198288","98.3749008179","2.25169801712","100.661665916","102.273336887","102.347137928","105.350113869","1","105.3641119","109.640574932",""
"sujeto_e9306fb7","2","1","4","4","109.765341997","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","left","1.21078395844","110.976193905","3.78921604156","114.91907382","4.56312704086","119.482266903","1.43687295914","120.954931974","122.15967083","122.239159822","125.240541935","0","125.255955935","128.709874868",""
"sujeto_e9306fb7","2","1","5","5","128.843204975","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","1.65333008766","130.496582985","3.34666991234","133.998859882","3.96675205231","137.965649843","2.03324794769","140.04875493","141.570158958","141.650034904","144.652586937","1","144.668035984","151.704571962",""
"sujeto_e9306fb7","2","1","6","6","151.837864876","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","2.12610006332","153.964030027","2.87389993668","156.994557858","4.72452402115","161.719131947","1.27547597885","163.046267033","164.101071835","164.17918992","167.182173967","0","167.196475983","174.823065996",""
"sujeto_e9306fb7","2","1","7","7","174.950812817","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","3.36854290962","178.319419861","1.63145709038","180.08969903","3.16475510597","183.254523039","2.83524489403","186.123852015","187.987833977","188.059096813","191.062070847","1","191.07620883","196.837234974",""
"sujeto_e9306fb7","2","1","8","8","196.979857922","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","2.16720080376","199.147125006","2.83279919624","202.151661873","4.94514703751","207.096848011","1.05485296249","208.1864779","209.630739927","209.720748901","212.723762989","0","212.737797022","218.837112904",""
"sujeto_e9306fb7","2","1","9","9","218.990129948","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","right","1.5730137825","220.563210964","3.4269862175","224.145108938","5.81014895439","229.955319881","0.189851045609","230.179934978","231.728574038","231.796888828","234.799862862","1","234.814291","240.861541986",""
"sujeto_e9306fb7","2","1","10","10","240.986519814","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","1.4499809742","242.436573029","3.5500190258","246.141459942","5.93612718582","252.077651024","0.0638728141785","252.193765879","253.762189865","253.843087912","256.846066952","0","256.860440969","263.93253088",""
"sujeto_e9306fb7","2","1","11","11","264.06584096","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","left","1.66600012779","265.73190999","3.33399987221","269.219852924","4.61004900932","273.829941034","1.38995099068","275.254969835","276.936556816","277.022433996","280.024565935","0","280.039834976","283.773138046",""
"sujeto_e9306fb7","2","1","12","12","283.908162832","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","1.84099888802","285.74920702","3.15900111198","289.097869873","3.45132303238","292.549252987","2.54867696762","295.14603281","296.518718958","296.598033905","299.601009846","0","299.615180969","302.388558865",""
"sujeto_e9306fb7","2","1","13","13","302.517016888","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","left","1.77632784843","304.293408871","3.22367215157","307.67373991","4.78572583199","312.459532022","1.21427416801","313.723718882","314.802976847","314.873479843","317.876420021","0","317.890902996","321.731902838",""
"sujeto_e9306fb7","2","1","14","14","321.859860897","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","1.35378980637","323.21371603","3.64621019363","327.017268896","3.99644899368","331.013778925","2.00355100632","333.101840019","334.559645891","334.636579037","337.639566898","1","337.653908968","345.426827908",""
"sujeto_e9306fb7","2","1","15","15","345.559013844","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","right","1.02386784554","346.582926035","3.97613215446","350.696113825","4.92892599106","355.625082016","1.07107400894","356.731683969","357.780514002","357.865825891","360.868824959","1","360.882163048","367.572988987",""
"sujeto_e9306fb7","2","1","16","16","367.706133842","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","competitive","left","1.10900783539","368.815188885","3.89099216461","372.858309984","4.27091908455","377.129271984","1.72908091545","378.909377813","380.649379969","380.726728916","383.729691982","0","383.744796038","387.205307961",""
"sujeto_e9306fb7","2","1","17","17","387.345764875","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","competitive","right","1.27054095268","388.616343975","3.72945904732","392.513783932","3.78259396553","396.296453953","2.21740603447","398.565903902","399.604925871","399.684185982","402.687175035","0","402.701592922","407.511268854",""
"sujeto_e9306fb7","2","1","18","18","407.654769897","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","competitive","right","1.01581692696","408.670656919","3.98418307304","412.812125921","4.35160779953","417.163797855","1.64839220047","418.863907814","420.819988012","420.897653818","423.900597811","0","423.915953875","427.516602993",""
"sujeto_e9306fb7","2","1","19","19","427.650192976","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","competitive","left","3.16969203949","430.819950819","1.83030796051","432.804447889","3.67635893822","436.480844021","2.32364106178","438.857846975","440.601933956","440.675886869","443.678849936","1","443.692883015","448.167318821",""
"sujeto_e9306fb7","2","1","20","20","448.310844898","inverse","2","1","3","¿Qué civilización practicaba
 la momificación?","Grecia","Egipto","right","0","0","1","competitive","right","1.12212395668","449.43303895","3.87787604332","453.46470499","3.80331993103","457.268090963","2.19668006897","459.51700592","461.456287861","461.534353971","464.537335873","1","464.552578926","468.781359911",""
"sujeto_e9306fb7","2","1","21","21","468.921005964","direct","4","1","4","¿Cuántos millones de visitas
 recibe google por minuto?","3.0","4.5","","0","0","1","competitive","left","0.737247228622","469.658322811","4.26275277138","474.09504199","4.43426299095","478.529366016","1.56573700905","480.142300844","481.656554937","481.74306488","484.746065855","0","484.76038003","491.883036852",""
"sujeto_e9306fb7","2","1","22","22","492.016275883","inverse","1","1","3","La máquina de fax. se inventó en:","1843","1960","","0","0","1","competitive","right","0.990141868591","493.006464005","4.00985813141","497.157047033","5.62642598152","502.783541918","0.373574018478","503.191711903","504.433817863","504.508103848","507.511046886","0","507.525547028","510.761853933",""
