"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_72b8e12c","1","1","1","1","724.349321127","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","left","2.89618301392","727.245568037","2.10381698608","729.504072189","2.70245814323","732.206574202","3.29754185677","735.556431055","736.584733009","736.657922029","739.660877228","0","739.67536521","741.837874174",""
"sujeto_72b8e12c","1","1","2","2","741.960046053","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","1.23154091835","743.191660166","3.76845908165","747.109897137","3.24362492561","750.353579998","2.75637507439","753.145279169","755.023347139","755.096626043","758.099044085","0","758.114225149","760.206984043",""
"sujeto_72b8e12c","1","1","3","3","760.366475105","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","1.64008688927","762.006605148","3.35991311073","765.508100033","3.10344290733","768.611601114","2.89655709267","771.557672024","773.169367075","773.243331194","776.246328115","1","776.260950089","780.539059162",""
"sujeto_72b8e12c","1","1","4","4","780.660946131","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","0.887666940689","781.548656225","4.11233305931","785.800692081","2.783867836","788.584598064","3.216132164","791.851826191","793.056548119","793.136026144","796.138992071","1","796.153941154","799.607821226",""
"sujeto_72b8e12c","1","1","5","5","799.75744319","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","1.4312081337","801.18872714","3.5687918663","804.911508083","2.9781088829","807.88967514","3.0218911171","810.942966223","812.463034153","812.544205189","815.547161102","1","815.561440229","822.592432022",""
"sujeto_72b8e12c","1","1","6","6","822.768601179","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","0.771047115326","823.539698124","4.22895288467","827.922502995","3.94108295441","831.86364603","2.05891704559","833.957317114","835.012131214","835.091703176","838.094664097","0","838.108905077","845.73547101",""
"sujeto_72b8e12c","1","1","7","7","845.877019167","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","1.41859102249","847.295652151","3.58140897751","851.018545151","3.33701705933","854.355602026","2.66298294067","857.068762064","858.932788134","859.003996134","862.006977081","1","862.021393061","867.782424212",""
"sujeto_72b8e12c","1","1","8","8","867.922570229","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","0.79910993576","868.721733093","4.20089006424","873.096234083","3.55841398239","876.654692173","2.44158601761","879.146739006","880.591046095","880.665021181","883.667978048","0","883.682210207","889.781554222",""
"sujeto_72b8e12c","1","1","9","9","889.922060013","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","0.953594923019","890.875699043","4.04640507698","895.091264009","3.48639392853","898.577697039","2.51360607147","901.141509056","902.691074133","902.776797056","905.779791117","1","905.793977022","911.841281176",""
"sujeto_72b8e12c","1","1","10","10","911.978202105","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","0.953492879868","912.931761026","4.04650712013","917.149195194","3.30348396301","920.452718019","2.69651603699","923.201821089","924.770191193","924.853495121","927.856462002","0","927.870511055","934.944146156",""
