"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto4541440b","1","1","1","1","725.072138071","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","left","2.26925516129","727.341434956","2.73074483871","730.244421959","3.97488594055","734.219378948","2.02511405945","736.279429913","737.307696104","737.380366087","740.383327007","0","740.397269964","742.559767008",""
"sujeto4541440b","1","1","2","2","742.699124098","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","2.40713596344","745.10630393","2.59286403656","747.854067087","3.4591729641","751.313282967","2.5408270359","753.887852907","755.765868902","755.839051008","758.839691877","0","758.856688023","760.949454069",""
"sujeto4541440b","1","1","3","3","761.091253996","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","2.02292585373","763.114245892","2.97707414627","766.247319937","3.16685295105","769.414216042","2.83314704895","772.297543049","773.90921998","773.983077049","776.983690977","1","776.99989295","781.275703907",""
"sujeto4541440b","1","1","4","4","781.451050043","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.96097421646","783.412071943","3.03902578354","786.607655048","3.20336198807","789.811083078","2.79663801193","792.657954931","793.862742901","793.943065882","796.946031094","1","796.959933996","800.413841009",""
"sujeto4541440b","1","1","5","5","800.578094959","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","1.93398785591","802.51218605","3.06601214409","805.734116077","3.03581595421","808.769974947","2.96418404579","811.783143044","813.304528952","813.384836912","816.387712955","1","816.402618885","823.439321041",""
"sujeto4541440b","1","1","6","6","823.58709693","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","2.52786493301","826.115016937","2.47213506699","828.745802879","3.20006513596","831.945935965","2.79993486404","834.794445038","835.849261999","835.929363012","838.932336092","0","838.94649291","846.573081017",""
"sujeto4541440b","1","1","7","7","846.714534998","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","individual","left","1.89131498337","848.60591507","3.10868501663","851.890938044","2.96285605431","854.853852987","3.03714394569","857.924971104","859.789000034","859.826540947","862.829516888","1","862.843671083","868.604665041",""
"sujeto4541440b","1","1","8","8","868.74595809","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","1.85181713104","870.597817898","3.14818286896","873.93569994","3.17909097672","877.114830971","2.82090902328","879.968854904","881.413136959","881.487371922","884.490345001","0","884.504429102","890.603728056",""
"sujeto4541440b","1","1","9","9","890.759452105","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","right","2.12329602242","892.882790089","2.87670397758","895.913733006","4.48590683937","900.399705887","1.51409316063","901.963758945","903.513251066","903.597763062","906.600738049","1","906.61579895","912.663104057",""
"sujeto4541440b","1","1","10","10","912.800007105","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","left","2.32168292999","915.121741056","2.67831707001","917.975053072","5.58159399033","923.556713104","0.418406009674","924.026413918","925.594839096","925.676570892","928.679516077","0","928.694411039","935.768059969",""
"sujeto4541440b","1","1","11","11","935.946052074","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","right","1.82358717918","937.769697905","3.17641282082","941.119750023","3.5079190731","944.627729893","2.4920809269","947.170594931","948.851638079","948.922283888","951.925271034","0","951.939583063","955.671685934",""
"sujeto4541440b","1","1","12","12","955.807370901","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","right","1.79219388962","957.599606991","3.20780611038","960.980648041","3.49398303032","964.474675894","2.50601696968","967.014297962","968.387038946","968.465934992","971.468909025","0","971.48307991","974.257723093",""
"sujeto4541440b","1","1","13","13","974.384214878","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","left","2.47049403191","976.854818106","2.52950596809","979.590110064","4.32956695557","983.919728041","1.67043304443","985.624445915","986.703696966","986.775178909","989.778168917","0","989.79211092","993.633116007",""
"sujeto4541440b","1","1","14","14","993.777472973","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","2.67715501785","996.454675913","2.32284498215","998.949038982","3.14960384369","1002.09870601","2.85039615631","1004.99850798","1006.45565104","1006.53299904","1009.53597307","1","1009.5500679","1017.32006001",""
"sujeto4541440b","1","1","15","15","1017.45233989","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","left","2.28631901741","1019.73872209","2.71368098259","1022.61258793","4.05908489227","1026.67171192","1.94091510773","1028.66311407","1029.71170306","1029.78060508","1032.78353405","1","1032.79768991","1039.48851299",""
"sujeto4541440b","1","1","16","16","1039.6321311","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","individual","left","2.80253410339","1042.43473697","2.19746589661","1044.80429506","4.74444198608","1049.54878688","1.25555801392","1050.84178996","1052.58180308","1052.62544489","1055.62842488","0","1055.64275908","1059.10327911",""
"sujeto4541440b","1","1","17","17","1059.2447691","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","competitive","right","2.12795114517","1061.3727839","2.87204885483","1064.4340179","3.49367809296","1067.92773795","2.50632190704","1070.46806288","1071.50704789","1071.58544993","1074.58844399","0","1074.602386","1079.41206193",""
"sujeto4541440b","1","1","18","18","1079.55439091","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","individual","left","2.31136798859","1081.86580396","2.68863201141","1084.72298002","4.19275307655","1088.91580296","1.80724692345","1090.76042604","1092.71655607","1092.76178098","1095.76477289","0","1095.77894497","1099.38025904",""
"sujeto4541440b","1","1","19","19","1099.54967904","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","competitive","left","2.36913108826","1101.91887307","2.63086891174","1104.71973801","3.58499979973","1108.30478001","2.41500020027","1110.77226591","1112.51635098","1112.58947897","1115.59245706","1","1115.60790706","1120.08234501",""
"sujeto4541440b","1","1","20","20","1120.22546291","inverse","2","1","3","¿Qué civilización practicaba
 la momificación?","Grecia","Egipto","right","0","0","1","competitive","right","2.1414039135","1122.36693406","2.8585960865","1125.39691496","3.46892905235","1128.8659029","2.53107094765","1131.44883299","1133.3876431","1133.46754193","1136.47053003","1","1136.48452997","1140.71332097",""
"sujeto4541440b","1","1","21","21","1140.87009907","direct","4","1","4","¿Cuántos millones de visitas
 recibe google por minuto?","3.0","4.5","","0","0","1","competitive","left","1.65970206261","1142.52986693","3.34029793739","1146.02625394","4.1355369091","1150.16184902","1.8644630909","1152.07575798","1153.59064388","1153.67635393","1156.67934489","0","1156.69426608","1163.81575203",""
"sujeto4541440b","1","1","22","22","1163.9620769","inverse","1","1","3","La máquina de fax. se inventó en:","1843","1960","","0","0","1","competitive","left","2.24682688713","1166.2089479","2.75317311287","1169.12063289","4.17429709435","1173.29497409","1.82570290565","1175.17038989","1176.41179895","1176.48788905","1179.4908421","0","1179.50495005","1182.74124503",""
"sujeto4541440b","1","1","23","23","1182.89033103","direct","2","1","4","En la verdadera historia de los
 300 espartanos. habían:","300 soldados","4300 soldados","","1","1","1","competitive","right","1.75968718529","1184.65008903","3.24031281471","1188.04802108","3.88503694534","1191.93312693","2.11496305466","1194.09817004","1195.35938907","1195.432652","1198.43564391","1","1198.44981289","1202.25158",""
"sujeto4541440b","1","1","24","24","1202.41777897","inverse","1","1","4","¿Cuántos milímetros crece
 el pelo por día?","0.4","0.04","","0","0","0","competitive","right","1.4623029232","1203.88014698","3.5376970768","1207.5740509","4.10199904442","1211.67611098","1.89800095558","1213.62468696","1215.38535309","1215.45993304","1218.46289492","0","1218.47678089","1225.21188402",""
"sujeto4541440b","1","1","25","25","1225.34513903","direct","4","1","1","¿Cuánto mide la baldosa gris 
clásica de Montevideo?","22x22 cm.","20x20 cm.","","1","1","1","individual","left","2.30498504639","1227.65018797","2.69501495361","1230.53579593","5.01329493523","1235.54915595","0.986705064774","1236.58720589","1238.58245802","1238.62177896","1241.62475395","1","1241.63861799","1247.18142009",""
"sujeto4541440b","1","1","26","26","1247.34095097","inverse","2","1","2","¿Cuántas películas de rápidos
 y furiosos hay?","10","11","","1","1","0","competitive","left","1.84027481079","1249.18126988","3.15972518921","1252.49810696","2.94104909897","1255.43919992","3.05895090103","1258.54840803","1259.90640807","1259.98329592","1262.98628092","1","1263.00025988","1265.03494",""
"sujeto4541440b","1","1","27","27","1265.16804695","direct","3","1","1","¿Cuántos masters 1000
 ganó Del Potro?","1","2","","1","1","1","individual","right","2.16930699348","1267.33742905","2.83069300652","1270.33987594","4.85535502434","1275.19529009","1.14464497566","1276.39157891","1278.14617205","1278.192384","1281.19535303","1","1281.20946693","1288.60581994",""
"sujeto4541440b","1","1","28","28","1288.744169","inverse","2","1","4","¿Cuántos meses dura el 
embarazo de una leona?","3 meses","4 meses","","0","0","1","competitive","right","1.75117588043","1290.49538898","3.24882411957","1293.90082908","4.23750495911","1298.1383841","1.76249504089","1299.95322394","1301.06427908","1301.13801408","1304.14097905","0","1304.15511394","1310.87759805",""
"sujeto4541440b","1","1","29","29","1311.00619698","direct","1","1","1","¿En qué año fue creado
 el sandwich?","1762","1653","","1","1","0","individual","left","2.99132490158","1313.99759293","2.00867509842","1316.17803597","3.28343486786","1319.46150994","2.71656513214","1322.22856688","1323.82713199","1323.86389804","1326.86687207","1","1326.88106608","1330.35165405",""
"sujeto4541440b","1","1","30","30","1330.499367","inverse","4","1","2","El nombre de la moneda de Vietnam es:","Dinar","Dong","","0","0","1","competitive","left","2.70064687729","1333.20013189","2.29935312271","1335.67143798","4.0681540966","1339.73965597","1.9318459034","1341.70828199","1343.14028502","1343.226264","1346.22770309","0","1346.24302006","1352.40767288",""
"sujeto4541440b","1","1","31","31","1352.54552293","direct","2","1","1","¿cuantos aleteos puede dar 
un colibrí por segundo?","120","50","","0","0","0","individual","right","2.30615592003","1354.8517499","2.69384407997","1357.70261002","4.5450758934","1362.24774599","1.4549241066","1363.73685503","1365.46922493","1365.52068901","1368.52363896","0","1368.53783202","1372.75010705",""
"sujeto4541440b","1","1","32","32","1372.8901329","inverse","4","1","3","¿Qué altura promedio tienen
 los hombres uruguayos?","1.73 m","1.72 m","","1","1","1","competitive","left","1.49368309975","1374.38388491","3.50631690025","1378.04529691","3.38249993324","1381.42783999","2.61750006676","1384.09625602","1385.35866594","1385.43080997","1388.43167806","1","1388.44863701","1392.92372108",""
"sujeto4541440b","1","2","1","33","1521.30048394","direct","1","1","1","¿En qué año nació 
el actor Bradd Pitt?","1967","1963","","1","1","1","individual","left","2.05411791801","1523.35465503","2.94588208199","1526.47211504","3.75952506065","1530.23168111","2.24047493935","1532.52480292","1533.62066793","1533.6588099","1536.66178393","1","1536.67498302","1542.6025641","1392.9382391"
"sujeto4541440b","1","2","2","34","1542.74392891","inverse","2","1","1","¿Cual es el segundo 
monte más alto?","Kanchenjunga","K2","","1","1","1","individual","left","2.36779689789","1545.11179996","2.63220310211","1547.89965892","4.32812309265","1552.227844","1.67187690735","1553.93505907","1555.38743997","1555.43645906","1558.43942094","1","1558.453403","1561.88329411",""
"sujeto4541440b","1","2","3","35","1562.05542493","direct","3","1","1","¿Cuándo finalizó la construcción
 del Palacio Legislativo?","1925","1917","","0","0","1","competitive","left","2.58944797516","1564.64494896","2.41055202484","1567.22331905","4.55156803131","1571.77492809","1.44843196869","1573.27823901","1574.91966796","1574.99530292","1577.99829102","0","1578.01248288","1583.70772099",""
"sujeto4541440b","1","2","4","36","1583.84826803","inverse","3","1","3","¿Cuántos integrantes tenía
 en su inicio  el cuarteto de nos?","3","4","","1","1","1","competitive","right","1.19777202606","1585.04608893","3.80222797394","1589.00577688","3.33923506737","1592.34507895","2.66076493263","1595.0564599","1596.189574","1596.274405","1599.2773869","1","1599.29162407","1604.94143796",""
"sujeto4541440b","1","2","5","37","1605.07641006","direct","2","1","3","¿Qué valor tiene el número pi?","3.14","4.18","left","0","0","1","competitive","left","1.97373509407","1607.05022311","3.02626490593","1610.23340011","2.00473809242","1612.2382071","3.99526190758","1616.28309703","1617.73732901","1617.81950998","1620.82251","1","1620.83552504","1627.75652194",""
"sujeto4541440b","1","2","6","38","1627.88727403","inverse","2","1","2","¿Cuál es la esperanza de vida
 en Uruguay?","75","77","","1","1","0","competitive","right","1.87601423264","1629.76335692","3.12398576736","1633.0615921","3.30068397522","1636.36231709","2.69931602478","1639.11307788","1640.7668941","1640.84795499","1643.85092998","1","1643.86509395","1650.32810402",""
"sujeto4541440b","1","2","7","39","1650.46608496","direct","1","1","2","¿Cuantos pisos tiene la torre 
de las comunicaciones?","26","32","","1","1","0","competitive","right","1.82536482811","1652.29149199","3.17463517189","1655.63774204","3.81069803238","1659.44850492","2.18930196762","1661.67285991","1663.50162911","1663.57427096","1666.57726192","1","1666.59121203","1668.73739791",""
"sujeto4541440b","1","2","8","40","1668.92592502","inverse","2","1","4","¿En qué país sudamericano 
no hay McDonalds?","Bolivia","Venezuela","","0","0","1","competitive","left","1.4917049408","1670.41769791","3.5082950592","1674.06738997","4.18423390388","1678.25168705","1.81576609612","1680.11794496","1681.42727709","1681.50208902","1684.5050621","0","1684.51927304","1690.87568903",""
"sujeto4541440b","1","2","9","41","1691.00410604","direct","3","1","1","¿En qué año empieza
 la Edad Media?","476","512","","1","1","1","individual","right","1.52763700485","1692.53178692","3.47236299515","1696.161551","4.16917395592","1700.33079505","1.83082604408","1702.21277404","1703.61653996","1703.66321802","1706.66617894","1","1706.68094707","1709.66951203",""
"sujeto4541440b","1","2","10","42","1709.81557107","inverse","3","1","4","¿Hace cuántos años surgió
 el ser humano?","200mil","300mil","","0","0","0","competitive","left","1.14727210999","1710.96290898","3.85272789001","1714.97124004","3.27369213104","1718.24497104","2.72630786896","1721.02224302","1722.90822911","1722.98924994","1725.99223495","0","1726.00713396","1729.31570601",""
"sujeto4541440b","1","2","11","43","1729.45907092","direct","3","1","4","¿Cuántas cuadras tiene
 actualmente 18 de julio? ","36","33","","0","0","1","competitive","left","2.23792314529","1731.69706702","2.76207685471","1734.61489701","3.9411418438","1738.55609894","2.0588581562","1740.66637397","1742.367697","1742.45036292","1745.45332503","0","1745.46747994","1750.19374299",""
"sujeto4541440b","1","2","12","44","1750.33605003","inverse","1","1","4","¿Qué juego de equipo se 
considera mas rápido?","Lacrosse","Badminton","","0","0","0","competitive","left","1.54710912704","1751.88320804","3.45289087296","1755.47633696","4.45082497597","1759.92722297","1.54917502403","1761.52692294","1762.7700429","1762.8442049","1765.84714007","0","1765.86121702","1773.855654",""
