"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_b3dd3930","1","1","1","1","650.56516099","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","left","2.85170197487","653.416903973","2.14829802513","655.735566854","4.47544288635","660.211057901","1.52455711365","661.78825593","662.816511869","662.888448954","665.891435862","0","665.905592918","668.068124056",""
"sujeto_b3dd3930","1","1","2","2","668.208312035","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","1.78373599052","669.992096901","3.21626400948","673.363091946","2.96202397346","676.325178862","3.03797602654","679.395689964","681.273736954","681.347467899","684.350440979","0","684.365407944","686.456516027",""
"sujeto_b3dd3930","1","1","3","3","686.585242033","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","right","2.58097910881","689.166266918","2.41902089119","691.752599955","4.04469919205","695.797360897","1.95530080795","697.787365913","699.39902091","699.471874952","702.472508907","1","702.489628077","706.76451993",""
"sujeto_b3dd3930","1","1","4","4","706.890820026","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.04962420464","707.940494061","3.95037579536","712.047864914","2.0175819397","714.065491915","3.9824180603","718.098115921","719.302881956","719.383147001","722.386111975","1","722.400311947","725.854233027",""
"sujeto_b3dd3930","1","1","5","5","725.987824917","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","1.22271203995","727.210602999","3.77728796005","731.142518997","2.72214007378","733.864712","3.27785992622","737.192911863","738.71430397","738.794626951","741.797585011","1","741.811410904","748.848108053",""
"sujeto_b3dd3930","1","1","6","6","749.000241995","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","1.012570858","750.012876987","3.987429142","754.153972864","3.83089804649","757.984930992","2.16910195351","760.204921007","761.259710073","761.340364933","764.343361855","0","764.357290983","771.983859062",""
"sujeto_b3dd3930","1","1","7","7","772.112938881","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","1.27410197258","773.387106895","3.72589802742","777.263254881","2.32282495499","779.586123943","3.67717504501","783.315114975","785.179151058","785.25000906","788.252956867","1","788.26799798","794.028491974",""
"sujeto_b3dd3930","1","1","8","8","794.172627926","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","0.754019975662","794.926689863","4.24598002434","799.328059912","4.65025687218","803.978384972","1.34974312782","805.379697084","806.823963881","806.896978855","809.899947882","0","809.914296865","816.01364994",""
"sujeto_b3dd3930","1","1","9","9","816.151535034","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","right","1.68391513824","817.835520029","3.31608486176","821.307333946","3.67217993736","824.979580879","2.32782006264","827.357310057","828.906826973","828.991540909","831.994503021","1","832.00977397","838.057080984",""
"sujeto_b3dd3930","1","1","10","10","838.210654974","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","","0.925986051559","839.136683941","4.07401394844","843.351422071","6","849.351562023","0","849.366801023","850.935229063","851.003443003","854.004519939","0","854.020921946","861.094562054",""
"sujeto_b3dd3930","1","1","11","11","861.240422964","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","right","0.886476993561","862.127006054","4.11352300644","866.410767078","2.49423408508","868.905041933","3.50576591492","872.445581913","874.127645016","874.197649002","877.200633049","0","877.215015888","880.948318005",""
