code,nro_aplicante,nro_bloque,nro_trial_bloque,nro_trial_global,show_game_type,choice_order,rival,pay_individual,pay_competitive,question,answer_left_text,answer_right_text,correct_answer,outcome_individual,outcome_competitive,outcome_rival,game_type,answer,social_time,rt_game_type,feedback_delay,show_question,answer_time,rt_answer_global,feedback_delay_2,show_jitter,jitter_time,show_outcome,outcome_time,outcome_participant_real,show_final_jitter,second_jitter_time,inicio_descanso
sujeto_649d6cd3,1,1,1,1,28.7894921303,direct,3,1,4,"¿Cuántos centímetros corresponden
al talle 36 del calzado?",23,24,,0,0,1,competitive,,1.85021710396,30.6397712231,3.14978289604,33.9641811848,6,39.9643051624,0,39.9799411297,41.0082211494,41.0830051899,44.083589077,0,44.0998671055,46.262401104,
sujeto_649d6cd3,1,1,2,2,46.3995392323,inverse,3,1,2,"¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ",84,78,,0,0,1,individual,left,3.79553103447,50.1951110363,1.20446896553,51.5707991123,0.604326963425,52.1751852036,5.39567303658,57.6231381893,59.5011570454,59.5415840149,62.5445401669,0,62.5597040653,64.6524641514,
sujeto_649d6cd3,1,1,3,3,64.7957351208,direct,1,1,3,"¿Cuántas La Pasiva
 hay en uruguay?",15,11,,1,1,1,competitive,right,1.15966200829,65.9554769993,3.84033799171,69.9492120743,4.10438394547,74.0536360741,1.89561605453,75.9980711937,77.6097562313,77.6818161011,80.6847832203,1,80.699393034,84.9777231216,
sujeto_649d6cd3,1,1,4,4,85.119656086,inverse,3,1,3,¿De que color es la camiseta de uruguay?,blanca,celeste,right,1,1,1,competitive,right,2.73371696472,87.8534312248,2.26628303528,90.2769670486,2.20212292671,92.4791281223,3.79787707329,96.3277800083,97.5325341225,97.6135480404,100.61653614,1,100.630819082,104.084754229,
sujeto_649d6cd3,1,1,5,5,104.215432167,direct,2,1,1,"¿Cuánto metros mide
la torre Eiffel?",333,324,,1,1,1,competitive,right,0.861020088196,105.076507092,4.1389799118,109.366754055,2.114757061,111.481552124,3.885242939,115.401054144,116.922427177,117.003724098,120.006683111,1,120.02126503,127.057963133,
sujeto_649d6cd3,1,1,6,6,127.189271212,inverse,3,1,4,"¿Cuantas ciudades existen
 en todo el uruguay?",63,72,,0,0,1,competitive,right,1.00979995728,128.199114084,3.99020004272,132.332360029,2.65591096878,134.988315105,3.34408903122,138.38077116,139.435599089,139.514962196,142.517945051,0,142.532463074,150.159055233,
sujeto_649d6cd3,1,1,7,7,150.304658175,direct,1,1,1,¿Cuantos estados tiene África?,52,54,,1,1,0,competitive,left,0.892029047012,151.196731091,4.10797095299,155.445740223,1.83921194077,157.285017014,4.16078805923,161.496031046,163.360039234,163.431988001,166.434944153,1,166.449396133,172.210475206,
sujeto_649d6cd3,1,1,8,8,172.354086161,inverse,4,1,4,"¿En qué año nació
 Stephen Hawking?",1952,1942,,0,0,1,competitive,left,0.630077123642,172.984236002,4.36992287636,177.52392602,2.50430393219,180.028268099,3.49569606781,183.57466507,185.018982172,185.093561172,188.096547127,0,188.111050129,194.210421085,
sujeto_649d6cd3,1,1,9,9,194.346011162,direct,2,1,3,"¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?",56,57,,1,1,1,competitive,left,1.42937421799,195.775482178,3.57062578201,199.503122091,2.66034197807,202.163522005,3.33965802193,205.553406,207.102944136,207.188148022,210.191141129,1,210.205463171,216.252770185,
sujeto_649d6cd3,1,1,10,10,216.393403053,inverse,1,1,2,"¿Cuantos milímetros 
mide una hoja A2?",420x592,420x594,,0,0,1,competitive,right,1.0892560482,217.482708216,3.9107439518,221.544971228,5.02177906036,226.566806078,0.978220939636,227.597781181,229.166216135,229.248548031,232.251541138,0,232.265978098,239.33962822,
