"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_39b35dcb","1","1","1","1","231.99506402","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","left","1.69675016403","233.691877127","3.30324983597","237.153362989","2.73146486282","239.88489604","3.26853513718","243.202844143","244.231131077","244.305186987","247.308171988","0","247.321885109","249.484416962",""
"sujeto_39b35dcb","1","1","2","2","249.624027014","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","1.83001589775","251.454110146","3.16998410225","254.7789011","3.59417200089","258.373132944","2.40582799911","260.813578129","262.691610098","262.76402998","265.766968966","0","265.781818151","267.874580145",""
"sujeto_39b35dcb","1","1","3","3","268.000937939","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","individual","right","1.5482480526","269.549246073","3.4517519474","273.153739929","3.83046913147","276.984262943","2.16953086853","279.189121008","280.800148964","280.840673923","283.843622923","1","283.857656002","288.13599515",""
"sujeto_39b35dcb","1","1","4","4","288.292920113","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","0.905524015427","289.198509932","4.09447598457","293.449164152","2.28628802299","295.73549509","3.71371197701","299.499446154","300.704216003","300.784754038","303.787714958","1","303.801964045","307.255882978",""
"sujeto_39b35dcb","1","1","5","5","307.386565924","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","1.69304203987","309.079674959","3.30695796013","312.525960922","3.37969207764","315.905719995","2.62030792236","318.560359955","320.081750154","320.161443949","323.164438009","1","323.178422928","330.215120077",""
"sujeto_39b35dcb","1","1","6","6","330.34713006","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","1.07464885712","331.421833038","3.92535114288","335.484961987","4.1966650486","339.681689978","1.8033349514","341.521177053","342.575959921","342.655408144","345.658386946","0","345.672511101","353.299101114",""
"sujeto_39b35dcb","1","1","7","7","353.441132069","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","1.33954000473","354.78073597","3.66045999527","358.582863092","3.77371311188","362.356617928","2.22628688812","364.633187056","366.497189045","366.568392038","369.571381092","1","369.585639954","375.346662998",""
"sujeto_39b35dcb","1","1","8","8","375.470456123","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","1.19716310501","376.667686939","3.80283689499","380.627197027","3.76330494881","384.390557051","2.23669505119","386.661613941","388.105901003","388.179396152","391.18237114","0","391.196454048","397.295813084",""
"sujeto_39b35dcb","1","1","9","9","397.448156118","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","2.0233809948","399.471580029","2.9766190052","402.604912996","2.98064303398","405.585613966","3.01935696602","408.655143023","410.204261065","410.274189949","413.276261091","1","413.292315006","419.339621067",""
"sujeto_39b35dcb","1","1","10","10","419.476858139","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","1.83074498177","421.307670116","3.16925501823","424.633249044","4.14328098297","428.776572943","1.85671901703","430.667572975","432.236005068","432.318773031","435.321756124","0","435.335788965","442.409394026",""
"sujeto_39b35dcb","1","1","11","11","442.570127964","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","left","1.62938904762","444.199592113","3.37061095238","447.728130102","3.72941112518","451.457606077","2.27058887482","453.77846694","455.460492134","455.530506134","458.533461094","0","458.547472954","462.280765057",""
"sujeto_39b35dcb","1","1","12","12","462.448981047","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","right","1.89655590057","464.345647097","3.10344409943","467.639308929","3.28518390656","470.924533129","2.71481609344","473.689235926","475.061944008","475.140443087","478.143365145","0","478.157592058","480.932249069",""
"sujeto_39b35dcb","1","1","13","13","481.092864037","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","left","2.35265994072","483.445589066","2.64734005928","486.248552084","4.06292200089","490.31153512","1.93707799911","492.333454132","493.412656069","493.484535933","496.487473965","0","496.501430988","500.342381001",""
"sujeto_39b35dcb","1","1","14","14","500.470049143","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","1.22750997543","501.697603941","3.77249002457","505.608371973","4.58412790298","510.192543983","1.41587209702","511.659769058","513.117531061","513.193670034","516.196609974","1","516.212193012","523.985123158",""
"sujeto_39b35dcb","1","1","15","15","524.146027088","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","right","1.82252717018","525.968615055","3.17747282982","529.304275036","4.07126402855","533.375604153","1.92873597145","535.354025126","536.402837992","536.472038984","539.475016117","1","539.489258051","546.180135965",""
