"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_1d9a94b2","1","1","1","1","681.984362841","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","1.41218090057","683.396613836","3.58781909943","687.155359983","4.17124199867","691.326650858","1.82875800133","693.205667973","694.233968973","694.322635889","697.325601816","0","697.340306997","699.501996994",""
"sujeto_1d9a94b2","1","1","2","2","699.642642975","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","right","0.947072982788","700.589782953","4.05292701721","704.797858","3.99987506866","708.797775984","2.00012493134","710.848815918","712.726856947","712.800030947","715.803014994","0","715.817514896","717.910284996",""
"sujeto_1d9a94b2","1","1","3","3","718.052737951","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","right","1.0780980587","719.130916834","3.9219019413","723.206880808","3.43595504761","726.642907858","2.56404495239","729.257840872","730.869513988","730.942938805","733.945917845","1","733.960290909","738.238659859",""
"sujeto_1d9a94b2","1","1","4","4","738.377478838","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","0.926460981369","739.303980827","4.07353901863","743.515162945","2.44185709953","745.957078934","3.55814290047","749.567379951","750.772005796","750.852259874","753.855232954","1","753.869490862","757.321411848",""
"sujeto_1d9a94b2","1","1","5","5","757.47297287","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","1.00316905975","758.476188898","3.99683094025","762.628441811","2.69567704201","765.324162006","3.30432295799","768.660966873","770.182364941","770.262825012","773.265815973","1","773.280402899","780.317098856",""
"sujeto_1d9a94b2","1","1","6","6","780.44836688","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","0.553941965103","781.002374887","4.4460580349","785.605983019","2.4313390255","788.037387848","3.5686609745","791.656113863","792.710945845","792.79151082","795.794487953","0","795.809180975","803.435782909",""
"sujeto_1d9a94b2","1","1","7","7","803.581520796","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","1.12694692612","804.708529949","3.87305307388","808.735165834","2.87142205238","811.606647015","3.12857794762","814.785696983","816.649708986","816.720914841","819.723913908","1","819.73820281","825.499238014",""
"sujeto_1d9a94b2","1","1","8","8","825.639765024","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","0.610028982162","826.249862909","4.38997101784","830.796317816","2.5255279541","833.321895838","3.4744720459","836.847309828","838.291605949","838.365028858","841.368006945","0","841.385113001","847.484478951",""
"sujeto_1d9a94b2","1","1","9","9","847.632960796","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","0.665148019791","848.298175812","4.33485198021","852.806381941","3.2147731781","856.021214008","2.7852268219","858.857469797","860.40700984","860.492947817","863.495963812","1","863.509538889","869.556851864",""
"sujeto_1d9a94b2","1","1","10","10","869.715187788","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","0.520184993744","870.235417843","4.47981500626","874.886703014","3.39969396591","878.286437988","2.60030603409","880.937215805","882.505649805","882.588490009","885.591466904","0","885.606117964","892.676560879",""
