"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_0065427","1","1","1","1","1048.93176699","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","","","","","","","","","","","","","","","1053.95573497","1056.11825299",""
"sujeto_0065427","1","1","2","2","1056.23693895","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","","","","","","","","","","","","","","","1061.25882792","1063.35159397",""
"sujeto_0065427","1","1","3","3","1063.47562194","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","1.23724913597","1064.71291399","3.76275086403","1068.61199999","1.56181311607","1070.17385697","4.43818688393","1074.64500594","1076.25665379","1076.33090091","1079.33385587","1","1079.3478229","1083.62616181",""
"sujeto_0065427","1","1","4","4","1083.78523993","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","","","","","","","","","","","","","","","1088.80601192","1092.25992584",""
"sujeto_0065427","1","1","5","5","1092.38626194","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","","","","","","","","","","","","","","","1097.39386487","1104.43055987",""
"sujeto_0065427","1","1","6","6","1104.56293988","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","","","","","","","","","","","","","","","1109.58306098","1117.20591593",""
"sujeto_0065427","1","1","7","7","1117.33226991","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","","","","","","","","","","","","","","","1122.35420394","1128.11521983",""
"sujeto_0065427","1","1","8","8","1128.24074078","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","","","","","","","","","","","","","","","1133.26233983","1139.35792994",""
"sujeto_0065427","1","1","9","9","1139.47767282","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","","","","","","","","","","","","","","","1144.48455691","1150.53180599",""
"sujeto_0065427","1","1","10","10","1150.66922688","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","","","","","","","","","","","","","","","1155.69109297","1162.76188397",""
"sujeto_0065427","1","1","11","11","1162.89429379","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","","","","","","","","","","","","","","","1167.91361499","1171.64690089",""
"sujeto_0065427","1","1","12","12","1171.76497698","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","","","","","","","","","","","","","","","1176.7818408","1179.55648494",""
"sujeto_0065427","1","1","13","13","1179.68384886","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","","","","","","","","","","","","","","","1184.70540881","1188.54641294",""
"sujeto_0065427","1","1","14","14","1188.69042993","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","","","","","","","","","","","","","","","1193.70956182","1201.48248577",""
"sujeto_0065427","1","1","15","15","1201.60921597","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","","","","","","","","","","","","","","","1206.62985396","1213.32067084",""
"sujeto_0065427","1","1","16","16","1213.45099282","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","","","","","","","","","","","","","","","1218.47268581","1221.93319988",""
"sujeto_0065427","1","1","17","17","1222.05714583","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","","","","","","","","","","","","","","","1227.07701588","1231.886657",""
"sujeto_0065427","1","1","18","18","1232.01103997","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","","","","","","","","","","","","","","","1237.03272581","1240.63528895",""
"sujeto_0065427","1","1","19","19","1240.7663579","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","","","","","","","","","","","","","","","1245.78732991","1250.25792289",""
"sujeto_0065427","1","1","20","20","1250.38835692","inverse","2","1","3","¿Qué civilización practicaba
 la momificación?","Grecia","Egipto","right","0","0","1","","","","","","","","","","","","","","","1255.40837598","1259.63716078",""
"sujeto_0065427","1","1","21","21","1259.75756478","direct","4","1","4","¿Cuántos millones de visitas
 recibe google por minuto?","3.0","4.5","","0","0","1","","","","","","","","","","","","","","","1264.77834487","1271.90101981",""
"sujeto_0065427","1","1","22","22","1272.04947186","inverse","1","1","3","La máquina de fax. se inventó en:","1843","1960","","0","0","1","","","","","","","","","","","","","","","1277.06997395","1280.30588198",""
"sujeto_0065427","1","1","23","23","1280.4219749","direct","2","1","4","En la verdadera historia de los
 300 espartanos. habían:","300 soldados","4300 soldados","","1","1","1","","","","","","","","","","","","","","","1285.44057083","1289.24189997",""
"sujeto_0065427","1","1","24","24","1289.35762191","inverse","1","1","4","¿Cuántos milímetros crece
 el pelo por día?","0.4","0.04","","0","0","0","","","","","","","","","","","","","","","1294.37665987","1301.10992289",""
"sujeto_0065427","1","1","25","25","1301.24559498","direct","4","1","1","¿Cuánto mide la baldosa gris 
clásica de Montevideo?","22x22 cm.","20x20 cm.","","1","1","1","","","","","","","","","","","","","","","1306.26766181","1311.80989885",""
"sujeto_0065427","1","1","26","26","1311.9366498","inverse","2","1","2","¿Cuántas películas de rápidos
 y furiosos hay?","10","11","","1","1","0","","","","","","","","","","","","","","","1316.95663881","1318.99133277",""
