"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_c21b1e4c","1","1","1","1","955.828674078","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","individual","right","1.66391587257","957.492632151","3.33608412743","960.984395027","2.62528610229","963.609757185","3.37471389771","967.034893036","968.063188076","968.103234053","971.106204033","0","971.120314121","973.282841206",""
"sujeto_c21b1e4c","1","1","2","2","973.421850204","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","individual","left","3.18303394318","976.604959011","1.81696605682","978.577110052","2.53383088112","981.110987186","3.46616911888","984.627590179","986.504924059","986.546580076","989.548902988","0","989.564083099","991.656834126",""
"sujeto_c21b1e4c","1","1","3","3","991.79897213","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","","","","","","","","","","","","","","","996.820034027","1001.09837103",""
"sujeto_c21b1e4c","1","1","4","4","1001.25445914","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","individual","right","1.83073711395","1003.08526421","3.16926288605","1006.40824318","3.31902194023","1009.72730899","2.68097805977","1012.45897222","1013.66374207","1013.70989609","1016.71287608","1","1016.72793913","1020.18184805",""
"sujeto_c21b1e4c","1","1","5","5","1020.31220412","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","individual","left","3.05120015144","1023.36344814","1.94879984856","1025.46705508","3.05439400673","1028.52149415","2.94560599327","1031.51850104","1033.03986216","1033.08742118","1036.09037399","1","1036.10430217","1043.14092803",""
"sujeto_c21b1e4c","1","1","6","6","1043.30605412","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","individual","left","2.81667995453","1046.12277818","2.18332004547","1048.45715904","2.88356184959","1051.34076214","3.11643815041","1054.49809813","1055.5528791","1055.59978318","1058.60268903","0","1058.61633015","1066.24286914",""
"sujeto_c21b1e4c","1","1","7","7","1066.3684001","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","individual","left","3.71564388275","1070.08408999","1.28435611725","1071.509547","3.25350689888","1074.76311612","2.74649310112","1077.56059122","1079.42462206","1079.46125412","1082.46419311","1","1082.47841716","1088.23697209",""
"sujeto_c21b1e4c","1","1","8","8","1088.39739513","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","individual","right","4.81592702866","1093.21339321","0.184072971344","1093.55339718","3.11590409279","1096.66934514","2.88409590721","1099.58840799","1101.03270817","1101.07302618","1104.07599306","0","1104.09021306","1110.1895802",""
"sujeto_c21b1e4c","1","1","9","9","1110.32587099","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","individual","left","4.81470108032","1115.14064813","0.185298919678","1115.48213005","2.98944687843","1118.47162008","3.01055312157","1121.53249121","1123.08201098","1123.11706805","1126.1200161","1","1126.13405704","1132.18137407",""
"sujeto_c21b1e4c","1","1","10","10","1132.31978607","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","individual","right","1.89106082916","1134.21092105","3.10893917084","1137.49450707","3.46639108658","1140.96096206","2.53360891342","1143.543993","1145.11240315","1145.16180515","1148.16475105","0","1148.17968822","1155.25331712",""
