"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_11124bad","1","1","1","1","16.5185720921","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","1.30262207985","17.8212561607","3.69737792015","21.6767640114","3.73945808411","25.4162840843","2.26054191589","27.7276210785","28.7553789616","28.8285679817","31.8313250542","0","31.8462030888","34.0073320866",""
"sujeto_11124bad","1","1","2","2","34.1477231979","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","2.20367598534","36.3514649868","2.79632401466","39.3015401363","4.8208861351","44.12246418","1.1791138649","45.3529031277","47.2309541702","47.3031280041","50.3060941696","0","50.3203680515","52.413120985",""
"sujeto_11124bad","1","1","3","3","52.5558850765","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","1.85267782211","54.40863204","3.14732217789","57.7297861576","2.85583400726","60.5856790543","3.14416599274","63.7797269821","65.3914141655","65.4646961689","68.4673771858","1","68.4825181961","72.7608561516",""
"sujeto_11124bad","1","1","4","4","72.9006500244","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.7260799408","74.6267931461","3.2739200592","78.040610075","2.56016802788","80.6008181572","3.43983197212","84.0737030506","85.2784771919","85.3589570522","88.3618991375","1","88.3759121895","91.8297820091",""
"sujeto_11124bad","1","1","5","5","91.9604961872","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","2.53742408752","94.4979891777","2.46257591248","97.1154961586","4.25539016724","101.370923042","1.74460983276","103.16645813","104.687824965","104.768072128","107.768321037","1","107.785597086","114.819378138",""
"sujeto_11124bad","1","1","6","6","114.953737974","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","","1.47032189369","116.424098015","3.52967810631","120.095386982","6","126.095504999","0","126.109886169","127.164710999","127.24727416","130.250212193","0","130.264355183","137.887339115",""
"sujeto_11124bad","1","1","7","7","138.015771151","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","1.52358794212","139.539399147","3.47641205788","143.157777071","2.41462397575","145.572460175","3.58537602425","149.190291166","151.054284096","151.125396967","154.128344059","1","154.143548012","159.904576063",""
"sujeto_11124bad","1","1","8","8","160.045185089","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","1.53435087204","161.579596996","3.46564912796","165.202301025","3.78228092194","168.984621048","2.21771907806","171.252539158","172.696830034","172.771252155","175.774230003","0","175.788223982","181.887420177",""
"sujeto_11124bad","1","1","9","9","182.022782087","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.72301411629","183.745850086","3.27698588371","187.163158178","3.02261209488","190.185808182","2.97738790512","193.213966131","194.76336503","194.832099199","197.835079193","1","197.849892139","203.897201061",""
"sujeto_11124bad","1","1","10","10","204.06827116","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","1.35568499565","205.424025059","3.64431500435","209.22579813","4.69807815552","213.923910141","1.30192184448","215.276245117","216.844684124","216.927558184","219.930540085","0","219.944645166","227.018275023",""
