"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_06da9741","1","1","1","1","588.917201042","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","3.56844592094","592.485688925","1.43155407906","594.08860898","5.16006779671","599.248728037","0.839932203293","600.12312603","601.15143609","601.22410202","604.227088928","0","604.240841866","606.40338397",""
"sujeto_06da9741","1","1","2","2","606.542705059","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","2.86602020264","609.408767939","2.13397979736","611.731285095","3.58349108696","615.314819098","2.41650891304","617.781921864","619.659970045","619.733222961","622.736238003","0","622.750870943","624.843636036",""
"sujeto_06da9741","1","1","3","3","624.985120058","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","3.44175004959","628.426913023","1.55824995041","630.140161037","3.02075600624","633.160959005","2.97924399376","636.191325903","637.802998066","637.87687397","640.879818916","1","640.894407988","645.172611952",""
"sujeto_06da9741","1","1","4","4","645.312391996","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","2.550593853","647.863060951","2.449406147","650.484808922","2.51922297478","653.004091978","3.48077702522","656.53451705","657.739284039","657.819457054","660.822434902","1","660.836760998","664.289638996",""
"sujeto_06da9741","1","1","5","5","664.438551903","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","individual","left","2.27059102058","666.709187031","2.72940897942","669.595402956","3.2787399292","672.87420392","2.7212600708","675.642534018","677.163955927","677.211690903","680.214657068","1","680.22911787","687.265817881",""
"sujeto_06da9741","1","1","6","6","687.413506985","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","1.96175193787","689.37530303","3.03824806213","692.574028015","3.9604780674","696.534545898","2.0395219326","698.606123924","699.660928965","699.739300013","702.742287874","0","702.757101059","710.383703947",""
"sujeto_06da9741","1","1","7","7","710.525307894","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","2.37469696999","712.900075912","2.62530303001","715.686527967","3.58272480965","719.269294024","2.41727519035","721.721237898","723.585216999","723.672404051","726.675333977","1","726.690093994","732.449585915",""
"sujeto_06da9741","1","1","8","8","732.590810061","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","2.15399312973","734.744847059","2.84600687027","737.762850046","3.54509997368","741.307995081","2.45490002632","743.799606085","745.243906021","745.317786932","748.320798874","0","748.335170031","754.434550047",""
"sujeto_06da9741","1","1","9","9","754.58643508","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.86698913574","756.453511","3.13301086426","759.777060032","4.44154906273","764.218668938","1.55845093727","765.811150074","767.360624075","767.445869923","770.448849916","1","770.46309495","776.50960207",""
"sujeto_06da9741","1","1","10","10","776.648372889","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","","2.100522995","778.748952866","2.899477005","781.804235935","6","787.804360867","0","787.821306944","789.38972497","789.475203037","792.478223085","0","792.49229908","799.565573931",""
"sujeto_06da9741","1","1","11","11","799.693981886","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","right","1.79567408562","801.489717007","3.20432591438","804.851348877","4.13353395462","808.984926939","1.86646604538","810.902549028","812.584598064","812.669945955","815.672901869","0","815.687553883","819.420871019",""
"sujeto_06da9741","1","1","12","12","819.555687904","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","right","1.73249602318","821.288227081","3.26750397682","824.728909969","3.79647803307","828.525428057","2.20352196693","830.762690067","832.13538003","832.214145899","835.217156887","0","835.231507063","838.006156921",""
"sujeto_06da9741","1","1","13","13","838.133217096","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","2.2324950695","840.365776062","2.7675049305","843.287754059","3.27712512016","846.564938068","2.72287487984","849.322253942","850.40149498","850.474040031","853.476964951","0","853.491690874","857.332563877",""
"sujeto_06da9741","1","1","14","14","857.526253939","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","1.9979968071","859.524291992","3.0020031929","862.680279016","3.7180981636","866.398416042","2.2819018364","868.732991934","870.190820932","870.267359018","873.269613028","1","873.28461504","881.05756402",""
"sujeto_06da9741","1","1","15","15","881.203876019","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","left","2.39196515083","883.595903873","2.60803484917","886.362225056","3.71873402596","890.080998898","2.28126597404","892.413626909","893.462434053","893.547721863","896.55071187","1","896.565419912","903.256255865",""
"sujeto_06da9741","1","1","16","16","903.399883032","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","individual","left","1.74044919014","905.140402079","3.25955080986","908.574198008","3.34636211395","911.920599937","2.65363788605","914.624626875","916.364609957","916.40980196","919.412781","0","919.427181959","922.887685061",""
"sujeto_06da9741","1","1","17","17","923.023412943","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","competitive","right","2.51246285439","925.53592205","2.48753714561","928.181945086","4.04809904099","932.230084896","1.95190095901","934.21963501","935.258646965","935.337522984","938.340511084","0","938.354862928","943.163595915",""
"sujeto_06da9741","1","1","18","18","943.305842876","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","competitive","right","2.02352809906","945.329434872","2.97647190094","948.462455034","4.04304218292","952.505568981","1.95695781708","954.496378899","956.452470064","956.53106308","959.534054041","0","959.548717976","963.151306868",""
"sujeto_06da9741","1","1","19","19","963.300744057","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","individual","right","2.38609099388","965.686896086","2.61390900612","968.473176956","3.95178985596","972.425029039","2.04821014404","974.524384022","976.266923904","976.308786869","979.311764956","1","979.326294899","983.800736904",""
