"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_eafb7359","1","1","1","1","673.38356781","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","individual","right","2.47139692307","675.855035782","2.52860307693","678.536257982","3.69072794914","682.227058887","2.30927205086","684.588286877","685.616592884","685.655960798","688.658908844","0","688.672722816","690.835245848",""
"sujeto_eafb7359","1","1","2","2","690.973777771","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","individual","left","1.59133005142","692.56515193","3.40866994858","696.112288952","3.75281405449","699.865142822","2.24718594551","702.162925959","704.040684938","704.080494881","707.08346796","0","707.098622799","709.191374779",""
"sujeto_eafb7359","1","1","3","3","709.333843946","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","1.26742005348","710.601329803","3.73257994652","714.489023924","2.75225806236","717.241318941","3.24774193764","720.538795948","722.150465965","722.22426796","725.227187872","1","725.241007805","729.516645908",""
"sujeto_eafb7359","1","1","4","4","729.643117905","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","2.7202911377","732.363470793","2.2797088623","734.795823812","2.3786380291","737.174501896","3.6213619709","740.831855774","742.036645889","742.117229939","745.120190859","1","745.134352922","748.588271856",""
"sujeto_eafb7359","1","1","5","5","748.736612797","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","individual","right","1.78896689415","750.525644779","3.21103310585","753.875671864","3.55791902542","757.433630943","2.44208097458","759.927536964","761.448888779","761.49493885","764.497864008","1","764.511838913","771.544624805",""
"sujeto_eafb7359","1","1","6","6","771.696745872","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","1.90106201172","773.597881794","3.09893798828","776.870003939","4.00772714615","780.877785921","1.99227285385","782.905818939","783.960618973","784.039864779","787.042838812","0","787.056908846","794.683511972",""
"sujeto_eafb7359","1","1","7","7","794.808981895","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","individual","left","2.00901985168","796.818118811","2.99098014832","799.963947773","2.97004294395","802.934034824","3.02995705605","806.015844822","807.879820824","807.919318914","810.922288895","1","810.936271906","816.697295904",""
"sujeto_eafb7359","1","1","8","8","816.838210821","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","2.4569709301","819.295225859","2.5430290699","821.99753499","3.85558605194","825.853178978","2.14441394806","828.046269894","829.490592003","829.563291788","832.566259861","0","832.581463814","838.680801868",""
"sujeto_eafb7359","1","1","9","9","838.816064835","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","2.20425486565","841.020367861","2.79574513435","843.974662781","3.88973093033","847.864451885","2.11026906967","850.024311781","851.573827982","851.65910387","854.660697937","1","854.675960779","860.723277807",""
"sujeto_eafb7359","1","1","10","10","860.860754967","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","2.5707051754","863.431501865","2.4292948246","866.050684929","5.64485406876","871.695578814","0.355145931244","872.087159872","873.655591965","873.736844778","876.739784002","0","876.753973007","883.824642897",""
"sujeto_eafb7359","1","1","11","11","883.956095934","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","right","3.63959717751","887.595757008","1.36040282249","889.114123821","3.10759592056","892.221780777","2.89240407944","895.163872004","896.844613791","896.915056944","899.916646004","0","899.932591915","903.665917873",""
"sujeto_eafb7359","1","1","12","12","903.801680803","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","2.20418691635","906.005932808","2.79581308365","908.939435005","2.70447015762","911.643943787","3.29552984238","914.991103888","916.363820791","916.442612886","919.445596933","0","919.45950985","922.234152794",""
"sujeto_eafb7359","1","1","13","13","922.362085819","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","1.55089592934","923.913028002","3.44910407066","927.533726931","3.44825601578","930.982038975","2.55174398422","933.617522001","934.696680784","934.769121885","937.772090912","0","937.78617382","941.627182007",""
"sujeto_eafb7359","1","1","14","14","941.771178961","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","2.26200604439","944.033231974","2.73799395561","946.926452875","2.97874593735","949.905237913","3.02125406265","952.960660934","954.418451786","954.496091843","957.499055862","1","957.513113976","965.286067963",""
"sujeto_eafb7359","1","1","15","15","965.4475739","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","individual","left","3.14181494713","968.589491844","1.85818505287","970.6229918","3.77139687538","974.394429922","2.22860312462","976.673463821","977.722259998","977.774433851","980.776678801","1","980.791550875","987.482376814",""
"sujeto_eafb7359","1","1","16","16","987.627062798","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","individual","right","2.05050492287","989.677628994","2.94949507713","992.784051895","4.72655081749","997.5106709","1.27344918251","998.818624973","1000.55861092","1000.60301089","1003.60598183","0","1003.62004781","1007.08059096",""
"sujeto_eafb7359","1","1","17","17","1007.22204494","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","individual","right","2.0686609745","1009.29074979","2.9313390255","1012.37680483","3.53687286377","1015.91371894","2.46312713623","1018.42821097","1019.46717691","1019.51346183","1022.51449895","0","1022.53068185","1027.34034896",""
"sujeto_eafb7359","1","1","18","18","1027.48178196","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","individual","right","1.46206402779","1028.9438858","3.53793597221","1032.63836098","4.43558812141","1037.07401299","1.56441187859","1038.68979287","1040.6458919","1040.69071579","1043.69368386","0","1043.70829797","1047.30868196",""
