"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_dcc3c5a9","1","1","1","1","614.927949905","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","individual","left","3.30925297737","618.237263918","1.69074702263","620.083876133","4.66043901443","624.744355917","1.33956098557","626.118263006","627.146558046","627.186064959","630.189039946","0","630.202985048","632.365509033",""
"sujeto_dcc3c5a9","1","1","2","2","632.505883932","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","2.97863912582","635.484616041","2.02136087418","637.655870914","3.3817050457","641.037638903","2.6182949543","643.693830967","645.571873903","645.64567399","648.648643017","0","648.662931919","650.755669117",""
"sujeto_dcc3c5a9","1","1","3","3","650.880887032","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","2.91890382767","653.799890041","2.08109617233","656.036133051","3.60376787186","659.639967918","2.39623212814","662.086945057","663.698627949","663.772511959","666.775483131","1","666.789384127","671.067728996",""
"sujeto_dcc3c5a9","1","1","4","4","671.204961061","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","individual","right","2.49514317513","673.700169086","2.50485682487","676.361393929","3.3667910099","679.728246927","2.6332089901","682.398082972","683.602823973","683.648838043","686.65181613","1","686.666712046","690.119400024",""
"sujeto_dcc3c5a9","1","1","5","5","690.251401901","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","3.07102394104","693.322470903","1.92897605896","695.389677048","2.73479104042","698.124535084","3.26520895958","701.440587997","702.961946964","703.04260397","706.045578003","1","706.059919119","713.096592903",""
"sujeto_dcc3c5a9","1","1","6","6","713.231981039","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","right","2.44480490685","715.676858902","2.55519509315","718.386121035","2.98573899269","721.371901989","3.01426100731","724.436831951","725.49142909","725.571294069","728.574299097","0","728.588434935","736.214987993",""
"sujeto_dcc3c5a9","1","1","7","7","736.360496044","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","2.10311818123","738.463656902","2.89688181877","741.515120983","4.23816180229","745.753322124","1.76183819771","747.566852093","749.430854082","749.500241995","752.503197908","1","752.5182271","758.279249907",""
"sujeto_dcc3c5a9","1","1","8","8","758.421842098","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","2.37373590469","760.795691013","2.62626409531","763.606382132","3.49433708191","767.100778103","2.50566291809","769.6429739","771.087263107","771.161677122","774.164617062","0","774.178918123","780.278280973",""
"sujeto_dcc3c5a9","1","1","9","9","780.416372061","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","individual","left","2.72856807709","783.145004988","2.27143192291","785.570095062","3.42895913124","788.999098063","2.57104086876","791.604936123","793.154452085","793.190638065","796.193604946","1","796.206852913","802.25416398",""
"sujeto_dcc3c5a9","1","1","10","10","802.394823074","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","left","2.1005821228","804.495469093","2.8994178772","807.548941135","5.23650312424","812.785484076","0.763496875763","813.601810932","815.170269966","815.252473116","818.255465031","0","818.269663095","825.343296051",""
"sujeto_dcc3c5a9","1","1","11","11","825.474586964","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","left","1.53923392296","827.013885021","3.46076607704","830.612533092","4.23227405548","834.844841003","1.76772594452","836.662883997","838.344872952","838.414806128","841.415421963","0","841.431613922","845.164911032",""
"sujeto_dcc3c5a9","1","1","12","12","845.299998999","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","right","2.56313085556","847.863193989","2.43686914444","850.454654932","3.56162905693","854.016324997","2.43837094307","856.490251064","857.862982035","857.942341089","860.945297003","0","860.959289074","863.733947039",""
"sujeto_dcc3c5a9","1","1","13","13","863.873507977","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","2.5709798336","866.444551945","2.4290201664","869.046589136","3.94502592087","872.991652966","2.05497407913","875.083478928","876.162722111","876.235235929","879.238228083","0","879.251642942","883.092643976",""
"sujeto_dcc3c5a9","1","1","14","14","883.272426128","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","left","1.83343791962","885.10591197","3.16656208038","888.44255805","3.42447900772","891.867101908","2.57552099228","894.49387598","895.951705933","896.027740002","899.030723095","1","899.04527092","906.818175077",""
"sujeto_dcc3c5a9","1","1","15","15","906.967061043","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","right","2.10036611557","909.067492008","2.89963388443","912.121279001","3.92618584633","916.047508955","2.07381415367","918.155962944","919.204771042","919.289897919","922.291420937","1","922.307532072","928.998368025",""
"sujeto_dcc3c5a9","1","1","16","16","929.142435074","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","competitive","","2.4763481617","931.618844032","2.5236518383","934.300667048","6","940.300795078","0","940.319576979","942.05953002","942.136645079","945.139624119","0","945.154079914","948.614608049",""
"sujeto_dcc3c5a9","1","1","17","17","948.75800395","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","individual","right","2.77214503288","951.530220032","2.22785496712","953.926641941","4.4176170826","958.344298124","1.5823829174","959.978521109","961.017482996","961.062948942","964.063405991","0","964.080724001","968.890358925",""
"sujeto_dcc3c5a9","1","1","18","18","969.034544945","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","individual","right","2.72101593018","971.75562501","2.27898406982","974.202060938","3.23558592796","977.437701941","2.76441407204","980.239799023","982.195414066","982.241315126","985.244285107","0","985.259061098","988.861654043",""
"sujeto_dcc3c5a9","1","1","19","19","989.012085915","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","competitive","right","2.46589303017","991.478051901","2.53410696983","994.163336992","3.80370783806","997.967103004","2.19629216194","1000.21769905","1001.96172595","1002.03559709","1005.03855896","1","1005.05257297","1009.52702999",""
"sujeto_dcc3c5a9","1","1","20","20","1009.67136812","inverse","2","1","3","¿Qué civilización practicaba
 la momificación?","Grecia","Egipto","right","0","0","1","competitive","right","2.34502506256","1012.01645708","2.65497493744","1014.82746601","4.01808595657","1018.84561706","1.98191404343","1020.878124","1022.81738901","1022.89567709","1025.89864993","1","1025.91288996","1030.14166713",""
