"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_5fecb1ee","1","1","1","1","18.0358970165","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","2.11428904533","20.1502480507","2.88571095467","23.1920120716","1.99325299263","25.1853091717","4.00674700737","29.2418050766","30.2700781822","30.3432002068","33.3461561203","0","33.3610980511","35.5236361027",""
"sujeto_5fecb1ee","1","1","2","2","35.6642889977","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","right","2.18370890617","37.8481180668","2.81629109383","40.8325982094","3.8007080555","44.6333501339","2.1992919445","46.8854780197","48.7635200024","48.8365411758","51.8395271301","0","51.8548049927","53.9475650787",""
"sujeto_5fecb1ee","1","1","3","3","54.074942112","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","2.57735586166","56.6523611546","2.42264413834","59.2255680561","2.92874598503","62.1543521881","3.07125401497","65.260627985","66.8723230362","66.9451060295","69.9480581284","1","69.9625461102","74.2409000397",""
"sujeto_5fecb1ee","1","1","4","4","74.3837351799","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","2.15143895149","76.5352389812","2.84856104851","79.5533270836","2.45087718964","82.0042622089","3.54912281036","85.6048810482","86.8096861839","86.890114069","89.8930389881","1","89.9066832066","93.3606050014",""
"sujeto_5fecb1ee","1","1","5","5","93.4952940941","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","3.29577493668","96.7911310196","1.70422506332","98.6607511044","2.03921198845","100.700019121","3.96078801155","104.714213133","106.235630035","106.316395044","109.319373131","1","109.333688021","116.370390177",""
"sujeto_5fecb1ee","1","1","6","6","116.502153158","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","1.98073601723","118.482967138","3.01926398277","121.675149202","3.5185379982","125.193726063","2.4814620018","127.726548195","128.781377077","128.860182047","131.86316514","0","131.877571106","139.504171133",""
"sujeto_5fecb1ee","1","1","7","7","139.646892071","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","1.96924686432","141.616219044","3.03075313568","144.81867218","3.99458599091","148.813297033","2.00541400909","150.854506016","152.718514204","152.789591074","155.792534113","1","155.806907177","161.567905188",""
"sujeto_5fecb1ee","1","1","8","8","161.710839033","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","right","2.0332159996","163.744117975","2.9667840004","166.880789042","2.61113286018","169.491980076","3.38886713982","172.931877136","174.376195192","174.450510025","177.453516006","0","177.467046022","183.566425085",""
"sujeto_5fecb1ee","1","1","9","9","183.704478979","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","right","1.33521294594","185.039761066","3.66478705406","188.858352184","3.76711916924","192.625531197","2.23288083076","194.909446001","196.458695173","196.54345417","199.546393156","1","199.561136007","205.608428001",""
"sujeto_5fecb1ee","1","1","10","10","205.760650158","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","1.27350401878","207.034218073","3.72649598122","210.902053118","4.14593696594","215.048049212","1.85406303406","216.937146187","218.505573988","218.588353157","221.591346979","0","221.605683088","228.679287195",""
