"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_c7735ca1",1,1,1,1,30.3881261349,"direct",3,1,4,"¿Cuántos centímetros corresponden
al talle 36 del calzado?",23,24,,0,0,1,"competitive","right",2.22353506088,32.6117019653,2.77646493912,35.5654480457,2.03132796288,37.5968420506,3.96867203712,41.5984251499,42.626707077,42.7007119656,45.7036530972,0,45.7183070183,47.8808090687,
"sujeto_c7735ca1",1,1,2,2,48.0162341595,"inverse",3,1,2,"¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ",84,78,,0,0,1,"competitive","left",1.82569909096,49.8419790268,3.17430090904,53.1742939949,3.06163096428,56.2359941006,2.93836903572,59.2221710682,61.1002190113,61.1735961437,64.1765899658,0,64.1912391186,66.2840089798,
"sujeto_c7735ca1",1,1,3,3,66.4119110107,"direct",1,1,3,"¿Cuántas La Pasiva
 hay en uruguay?",15,11,,1,1,1,"individual","left",1.69109606743,68.103069067,3.30890393257,71.5499379635,3.03314900398,74.5831291676,2.96685099602,77.5990440845,79.2100811005,79.2493700981,82.251955986,1,82.2663071156,86.5410151482,
"sujeto_c7735ca1",1,1,4,4,86.6861600876,"inverse",3,1,3,"¿De que color es la camiseta de uruguay?","blanca","celeste","right",1,1,1,"competitive","right",2.84501004219,89.531234026,2.15498995781,91.86079216,2.45850110054,94.31935215,3.54149889946,97.9112889767,99.1161000729,99.197229147,102.199963093,1,102.214221001,105.668168068,
"sujeto_c7735ca1",1,1,5,5,105.81299901,"direct",2,1,1,"¿Cuánto metros mide
la torre Eiffel?",333,324,,1,1,1,"competitive","left",2.49242782593,108.30547595,2.50757217407,110.966413975,3.2920229435,114.258476973,2.7079770565,117.022431135,118.543794155,118.623500109,121.626470089,1,121.640832186,128.67365098,
"sujeto_c7735ca1",1,1,6,6,128.81135416,"inverse",3,1,4,"¿Cuantas ciudades existen
 en todo el uruguay?",63,72,,0,0,1,"competitive","right",2.43827605247,131.249673128,2.56172394753,133.980556965,3.27710485458,137.257702112,2.72289514542,140.013228178,141.068048954,141.14618516,144.149171114,0,144.16288805,151.789505005,
"sujeto_c7735ca1",1,1,7,7,151.934995174,"direct",1,1,1,"¿Cuantos estados tiene África?",52,54,,1,1,0,"individual","left",2.57984209061,154.514949083,2.42015790939,157.092069149,3.05788207054,160.150011063,2.94211792946,163.146023989,165.010015011,165.04707098,168.050002098,1,168.065644979,173.826693058,
"sujeto_c7735ca1",1,1,8,8,173.967116117,"inverse",4,1,4,"¿En qué año nació
 Stephen Hawking?",1952,1942,,0,0,1,"individual","right",1.67193603516,175.639094114,3.32806396484,179.139656067,2.33450484276,181.474225044,3.66549515724,185.190420151,186.634737015,186.674791098,189.677760124,0,189.693128109,195.792493105,
"sujeto_c7735ca1",1,1,9,9,195.928714037,"direct",2,1,3,"¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?",56,57,,1,1,1,"competitive","left",2.29557585716,198.224334955,2.70442414284,201.085170031,3.06021094322,204.145419121,2.93978905678,207.119277,208.668794155,208.754589081,211.757568121,1,211.771885157,217.81915617,
"sujeto_c7735ca1",1,1,10,10,217.959145069,"inverse",1,1,2,"¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594",,0,0,1,"competitive","right",2.03943586349,219.998625994,2.96056413651,223.127771139,2.26974797249,225.39755702,3.73025202751,229.178241968,230.746663094,230.83053112,233.833502054,0,233.848148108,240.92179513,
"sujeto_c7735ca1",1,1,11,11,241.067527056,"direct",3,1,3,"¿Cuál es la menor temperatura 
registrada en Uruguay?",-5.4,-7.4,,0,0,1,"individual","left",2.40927290916,243.476859093,2.59072709084,246.225619078,3.86030817032,250.08596611,2.13969182968,252.260426044,253.942471027,253.995023966,256.997956991,0,257.012570143,260.744973183,
"sujeto_c7735ca1",1,1,12,12,260.880980015,"inverse",2,1,2,"¿Cuantos años hace que 
se fundó facebook?",18,17,,0,0,0,"individual","right",2.67704391479,263.55806613,2.32295608521,266.034772158,2.77530097961,268.810112,3.22469902039,272.086579084,273.459325075,273.504976988,276.507963181,0,276.522572994,279.296954155,
"sujeto_c7735ca1",1,1,13,13,279.425958157,"direct",1,1,4,"¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo",,0,0,0,"individual","left",2.6742041111,282.100203991,2.3257958889,284.579009056,3.0502538681,287.629321098,2.9497461319,290.663599014,291.742841959,291.781206131,294.784183025,0,294.79848814,298.639465094,
"sujeto_c7735ca1",1,1,14,14,298.785171032,"inverse",1,1,2,"¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin",,1,1,0,"competitive","right",2.2212729454,301.006529093,2.7787270546,303.95528698,2.55821609497,306.51354599,3.44178390503,310.006109953,311.463925123,311.541486025,314.544438124,1,314.559000015,322.331947088,
"sujeto_c7735ca1",1,1,15,15,322.480581999,"direct",3,1,2,"La universidad de oxford. 
existe desde:",1096,1249,,1,1,0,"individual","left",1.77113509178,324.251780987,3.22886490822,327.65200305,3.53376293182,331.185806036,2.46623706818,333.701995134,334.75080514,334.803975105,337.806964159,1,337.820543051,344.510962963,
"sujeto_c7735ca1",1,1,16,16,344.658560038,"inverse",3,1,1,"¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda",,0,0,1,"competitive","left",2.65365004539,347.312255144,2.34634995461,349.828142166,3.42686414719,353.25504303,2.57313585281,355.880748987,357.620787144,357.698863029,360.701902151,0,360.716278076,364.176841021,
"sujeto_c7735ca1",1,1,17,17,364.317599058,"direct",4,1,3,"¿Cuántos dientes tiene un
 tiburón blanco?",6000,3000,,0,0,1,"individual","left",2.3405790329,366.65824008,2.6594209671,369.473581076,3.32758402824,372.801201105,2.67241597176,375.524427176,376.563429117,376.609075069,379.612065077,0,379.626388073,384.436088085,
"sujeto_c7735ca1",1,1,18,18,384.578575134,"inverse",4,1,1,"¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km",,0,0,1,"individual","right",2.0468211174,386.625437975,2.9531788826,389.734204054,3.10916900635,392.843410969,2.89083099365,395.784836054,397.740987062,397.786159039,400.789137125,0,400.803325176,404.405900002,
"sujeto_c7735ca1",1,1,19,19,404.571463108,"direct",4,1,2,"¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand",,1,1,1,"competitive","left",2.32113718987,406.892645121,2.67886281013,409.728265047,3.19233989716,412.920648098,2.80766010284,415.778786182,417.521960974,417.596733093,420.599687099,1,420.614681959,425.089122057,
"sujeto_c7735ca1",1,1,20,20,425.233911037,"inverse",2,1,3,"¿Qué civilización practicaba
 la momificación?","Grecia","Egipto","right",0,0,1,"competitive","right",2.23791384697,427.471889019,2.76208615303,430.403839111,3.01608920097,433.419975996,2.98391079903,436.440123081,438.379433155,438.457842112,441.460855961,1,441.475253105,445.703917027,
"sujeto_c7735ca1",1,1,21,21,445.859228134,"direct",4,1,4,"¿Cuántos millones de visitas
 recibe google por minuto?",3,4.5,,0,0,1,"competitive","right",2.43689012527,448.296169996,2.56310987473,451.031912088,3.86329483986,454.895266056,2.13670516014,457.08467412,458.599555016,458.685589075,461.688596964,0,461.702893972,468.825556993,
"sujeto_c7735ca1",1,1,22,22,468.958348989,"inverse",1,1,3,"La máquina de fax. se inventó en:",1843,1960,,0,0,1,"competitive","left",2.36696100235,471.325371981,2.63303899765,474.111761093,3.36769914627,477.479524136,2.63230085373,480.162994146,481.405105114,481.480920076,484.483908176,0,484.498501062,487.734812021,
"sujeto_c7735ca1",1,1,23,23,487.882963181,"direct",2,1,4,"En la verdadera historia de los
 300 espartanos. habían:","300 soldados","4300 soldados",,1,1,1,"competitive","left",2.83062791824,490.713660002,2.16937208176,493.055022955,5.22662711143,498.281692028,0.773372888565,499.090444088,500.35165906,500.423825026,503.426820993,1,503.441558123,507.243332148,
"sujeto_c7735ca1",1,1,24,24,507.375929117,"inverse",1,1,4,"¿Cuántos milímetros crece
 el pelo por día?",0.4,0.04,,0,0,0,"competitive","right",1.90089416504,509.276915073,3.09910583496,512.548623085,4.55833387375,517.107017994,1.44166612625,518.583332062,520.344011068,520.417263031,523.420205116,0,523.435325146,530.170405149,
"sujeto_c7735ca1",1,1,25,25,530.322837114,"direct",4,1,1,"¿Cuánto mide la baldosa gris 
clásica de Montevideo?","22x22 cm.","20x20 cm.",,1,1,1,"competitive","right",2.82226395607,533.1451931,2.17773604393,535.490683079,4.69348096848,540.184204102,1.30651903152,541.529137135,543.523962021,543.596702099,546.599660158,1,546.613984108,552.155982018,
"sujeto_c7735ca1",1,1,26,26,552.317522049,"inverse",2,1,2,"¿Cuántas películas de rápidos
 y furiosos hay?",10,11,,1,1,0,"competitive","right",1.93782281876,554.255395174,3.06217718124,557.472382069,4.22600579262,561.698426962,1.77399420738,563.52376914,564.881775141,564.958237171,567.961253166,1,567.975751162,570.010401011,
"sujeto_c7735ca1",1,1,27,27,570.145943165,"direct",3,1,1,"¿Cuántos masters 1000
 ganó Del Potro?",1,2,,1,1,1,"competitive","right",2.24359107018,572.389605999,2.75640892982,575.3151021,3.46846604347,578.783627987,2.53153395653,581.366541147,583.120980978,583.201086998,586.204005957,1,586.218261003,593.61460495,
"sujeto_c7735ca1",1,1,28,28,593.753035069,"inverse",2,1,4,"¿Cuántos meses dura el 
embarazo de una leona?","3 meses","4 meses",,0,0,1,"competitive","right",2.12577795982,595.878895998,2.87422204018,598.910489082,3.1493639946,602.059911966,2.8506360054,604.962381124,606.073462963,606.146680117,609.149693966,0,609.164078951,615.885050058,
"sujeto_c7735ca1",1,1,29,29,616.015187979,"direct",1,1,1,"¿En qué año fue creado
 el sandwich?",1762,1653,,1,1,0,"competitive","right",2.55997896194,618.575229168,2.44002103806,621.16823101,4.09583902359,625.264126062,1.90416097641,627.207249165,628.80582118,628.874360085,631.877340078,1,631.891530037,635.36214304,
"sujeto_c7735ca1",1,1,30,30,635.497214079,"inverse",4,1,2,"El nombre de la moneda de Vietnam es:","Dinar","Dong",,0,0,1,"competitive","left",2.36306500435,637.860341072,2.63693499565,640.664858103,3.71552610397,644.380442142,2.28447389603,646.700700045,648.132692099,648.218500137,651.221491098,0,651.236238003,657.399598122,
"sujeto_c7735ca1",1,1,31,31,657.537223101,"direct",2,1,1,"¿cuantos aleteos puede dar 
un colibrí por segundo?",120,50,,0,0,0,"competitive","left",2.53735113144,660.074635983,2.46264886856,662.707714081,4.64793682098,667.35571003,1.35206317902,668.745731115,670.478149176,670.563519001,673.566545963,0,673.581184149,677.793517113,
"sujeto_c7735ca1",1,1,32,32,677.966521025,"inverse",4,1,3,"¿Qué altura promedio tienen
 los hombres uruguayos?","1.73 m","1.72 m",,1,1,1,"competitive","left",2.7162899971,680.682955027,2.2837100029,683.137434006,3.66640996933,686.803915024,2.33359003067,689.190057993,690.452507973,690.524214983,693.527201176,1,693.541501999,698.017445087,
"sujeto_c7735ca1",1,2,1,1,36.8776910305,"direct",1,1,1,"¿En qué año nació 
el actor Bradd Pitt?",1967,1963,,1,1,1,"competitive","left",2.28248906136,39.1602220535,2.71751093864,42.0646369457,3.35249996185,45.417183876,2.64750003815,48.116850853,49.2126009464,49.2850880623,52.2880139351,1,52.3020250797,58.2248859406,
"sujeto_c7735ca1",1,2,2,2,58.3532910347,"inverse",2,1,1,"¿Cual es el segundo 
monte más alto?","Kanchenjunga","K2",,1,1,1,"competitive","left",2.6570110321,61.0103640556,2.3429889679,63.5093050003,3.65974783897,67.1691150665,2.34025216103,69.5611510277,71.0135798454,71.0967259407,74.0997178555,1,74.1131188869,77.5402159691,
"sujeto_c7735ca1",1,2,3,3,77.6964030266,"direct",3,1,1,"¿Cuándo finalizó la construcción
 del Palacio Legislativo?",1925,1917,,0,0,1,"competitive","left",2.69861197472,80.3950779438,2.30138802528,82.8677859306,3.70124387741,86.5690729618,2.29875612259,88.9217879772,90.5634639263,90.639291048,93.6422729492,0,93.6564879417,99.3536040783,
"sujeto_c7735ca1",1,2,4,4,99.4956989288,"inverse",3,1,3,"¿Cuántos integrantes tenía
 en su inicio  el cuarteto de nos?",3,4,,1,1,1,"competitive","left",2.69331002235,102.189074039,2.30668997765,104.64695096,4.05702996254,108.704042912,1.94297003746,110.69924593,111.832345963,111.916354895,114.919291019,1,114.933845043,120.583687067,
"sujeto_c7735ca1",1,2,5,5,120.737165928,"direct",2,1,3,"¿Qué valor tiene el número pi?",3.14,4.18,"left",0,0,1,"competitive","left",4.44274997711,125.179978848,0.557250022888,125.892583847,2.71736502647,128.610008955,3.28263497353,131.942503929,133.396570921,133.477653027,136.480669022,1,136.495131016,143.415632963,
"sujeto_c7735ca1",1,2,6,6,143.563350916,"inverse",2,1,2,"¿Cuál es la esperanza de vida
 en Uruguay?",75,77,,1,1,0,"competitive","right",2.86156201363,146.424954891,2.13843798637,148.718210936,4.06266784668,152.780921936,1.93733215332,154.7551229,156.408639908,156.489816904,159.492754936,1,159.507062912,165.970108986,
"sujeto_c7735ca1",1,2,7,7,166.108027935,"direct",1,1,2,"¿Cuantos pisos tiene la torre 
de las comunicaciones?",26,32,,1,1,0,"competitive","left",3.06083202362,169.168923855,1.93916797638,171.265619993,4.59429883957,175.85998106,1.40570116043,177.300787926,179.129606009,179.201272011,182.204246998,1,182.21875906,184.364970922,
"sujeto_c7735ca1",1,2,8,8,184.52028203,"inverse",2,1,4,"¿En qué país sudamericano 
no hay McDonalds?","Bolivia","Venezuela",,0,0,1,"competitive","right",2.81360912323,187.333952904,2.18639087677,189.671952963,3.7109310627,193.382946968,2.2890689373,195.706585884,197.015958071,197.09168601,200.094702005,0,200.109228849,206.468957901,
"sujeto_c7735ca1",1,2,9,9,206.611964941,"direct",3,1,1,"¿En qué año empieza
 la Edad Media?",476,512,,1,1,1,"competitive","right",2.92087697983,209.532886982,2.07912302017,211.783443928,3.88142704964,215.664911032,2.11857295036,217.820461035,219.224210978,219.305297852,222.308279991,1,222.322731972,225.311282873,
"sujeto_c7735ca1",1,2,10,10,225.45902586,"inverse",3,1,4,"¿Hace cuántos años surgió
 el ser humano?","200mil","300mil",,0,0,0,"competitive","left",4.34876489639,229.807852983,0.651235103607,230.611362934,3.29955101013,233.910954952,2.70044898987,236.647367001,238.533416033,238.615620852,241.618602037,0,241.632863998,244.94333601,
"sujeto_c7735ca1",1,2,11,11,245.080882072,"direct",3,1,4,"¿Cuántas cuadras tiene
 actualmente 18 de julio? ",36,33,,0,0,1,"competitive","left",1.91608810425,246.997088909,3.08391189575,250.256561995,3.32829523087,253.584918022,2.67170476913,256.304960966,258.007189035,258.089248896,261.092236042,0,261.106903076,265.833195925,
"sujeto_c7735ca1",1,2,12,12,265.977186918,"inverse",1,1,4,"¿Qué juego de equipo se 
considera mas rápido?","Lacrosse","Badminton",,0,0,0,"competitive","right",2.71068906784,268.687941074,2.28931093216,271.130257845,4.60262799263,275.732945919,1.39737200737,277.185829878,278.428593874,278.502213955,281.505151987,0,281.519876957,289.514590979,
"sujeto_c7735ca1",1,2,13,13,289.654346943,"direct",1,1,3,"¿Qué promedio de edad 
vive una jirafa? ",25,20,,0,0,1,"competitive","right",0.849640846252,290.504065037,4.15035915375,294.812358856,2.97559690475,297.787994862,3.02440309525,300.896431923,302.657911062,302.731385946,305.734363079,0,305.747498035,311.703196049,
"sujeto_c7735ca1",1,2,14,14,311.848307848,"inverse",1,1,2,"¿Cuántos grandes lagos hay?",7,5,,0,0,1,"competitive","right",2.00867700577,313.857027054,2.99132299423,317.007457018,3.70748400688,320.714998007,2.29251599312,323.058232069,324.350386858,324.42642498,327.429411888,0,327.443588018,335.264963865,
"sujeto_c7735ca1",1,2,15,15,335.394633055,"direct",3,1,2,"¿Cuántos discos de estudio
 grabó Johhny Cash? ",54,43,,1,1,0,"competitive","right",1.66339206696,337.058089018,3.33660793304,340.553566933,4.11042380333,344.664032936,1.88957619667,346.587208986,347.865833044,347.937978029,350.940937042,1,350.955281019,357.606186867,
"sujeto_c7735ca1",1,2,16,16,357.739861012,"inverse",4,1,1,"¿Cuántos barrios tiene
 Montevideo? ",71,62,,0,0,1,"competitive","right",4.09812021255,361.838022947,0.901879787445,362.894636869,2.25744104385,365.152119875,3.74255895615,368.946192026,369.953279018,370.031821012,373.034810066,0,373.048300982,378.506193876,
"sujeto_c7735ca1",1,2,17,17,378.65408802,"direct",3,1,3,"¿Qué edad tiene Homero Simpson?",36,42,,0,0,1,"competitive","right",1.75699114799,380.411144018,3.24300885201,383.808520079,4.33861303329,388.147181988,1.66138696671,389.859443903,391.235470057,391.310706854,394.313698053,0,394.328335047,398.717027903,
"sujeto_c7735ca1",1,2,18,18,398.862877846,"inverse",4,1,2,"¿Cuántos países con monarquía 
hay en europa actualmente? ",6,10,,1,1,1,"competitive","left",2.37929105759,401.242231846,2.62070894241,404.035079002,4.29308009148,408.328218937,1.70691990852,410.070354939,411.508666039,411.587553024,414.590529919,1,414.605953932,420.762748957,
