"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_74a044c9","1","1","1","1","54.2317159176","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","2.72056293488","56.9523398876","2.27943706512","59.4045078754","5.38889098167","64.7934429646","0.611109018326","65.4591639042","66.48741889","66.559981823","69.5629889965","0","69.576679945","71.7382059097",""
"sujeto_74a044c9","1","1","2","2","71.8932459354","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","","1.6402258873","73.5335378647","3.3597741127","77.0502169132","6","83.0503568649","0","83.0662539005","84.9443399906","85.0187728405","88.0192689896","0","88.0368900299","90.1296539307",""
"sujeto_74a044c9","1","1","3","3","90.2876360416","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","right","1.97697997093","92.2646808624","3.02302002907","95.4428088665","3.37981390953","98.8226618767","2.62018609047","101.477401018","103.089072943","103.17897892","106.181303024","1","106.196542978","110.474853992",""
"sujeto_74a044c9","1","1","4","4","110.614636898","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.79311084747","112.407789946","3.20688915253","115.769737005","3.57298707962","119.342764854","2.42701292038","121.821816921","123.026278973","123.106462955","126.109428883","1","126.1238029","129.576361895",""
"sujeto_74a044c9","1","1","5","5","129.708462","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","1.51546692848","131.22399497","3.48453307152","134.880987883","3.55798006058","138.439007998","2.44201993942","140.930816889","142.452216864","142.532913923","145.535874844","1","145.549438","152.586138964",""
"sujeto_74a044c9","1","1","6","6","152.734871864","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","1.57925200462","154.314216852","3.42074799538","157.89267087","4.07744288445","161.970160007","1.92255711555","163.927253962","164.982065916","165.061338902","168.064338923","0","168.077860832","175.700345039",""
"sujeto_74a044c9","1","1","7","7","175.846189976","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","2.19113707542","178.037369013","2.80886292458","181.004099846","3.75524687767","184.759413004","2.24475312233","187.055966854","188.919962883","188.989939928","191.992915869","1","192.008466959","197.769474983",""
"sujeto_74a044c9","1","1","8","8","197.925397873","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","1.2921359539","199.217603922","3.7078640461","203.099799871","2.51775789261","205.617622852","3.48224210739","209.149133921","210.59345293","210.667480946","213.670445919","0","213.685659885","219.779270887",""
"sujeto_74a044c9","1","1","9","9","219.92037487","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","right","1.81526207924","221.735694885","3.18473792076","225.092732906","4.3800508976","229.472821951","1.6199491024","231.144867897","232.694388866","232.778615952","235.781616926","1","235.796339989","241.843658924",""
"sujeto_74a044c9","1","1","10","10","241.981226921","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","right","1.00474786758","242.986040831","3.99525213242","247.139058828","5.23393392563","252.373038054","0.766066074371","253.186549902","254.754966021","254.837422848","257.840415001","0","257.854884863","264.928529024",""
"sujeto_74a044c9","1","1","11","11","265.073007822","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","right","1.34817004204","266.421232939","3.65182995796","270.234459877","3.87763786316","274.112160921","2.12236213684","276.268348932","277.950402975","278.035861015","281.038797855","0","281.053336859","284.786639929",""
"sujeto_74a044c9","1","1","12","12","284.921527863","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","1.6437060833","286.565289974","3.3562939167","290.078176975","4.96515607834","295.043392897","1.03484392166","296.113677979","297.486378908","297.563755035","300.566252947","0","300.581539869","303.356202841",""
"sujeto_74a044c9","1","1","13","13","303.516433954","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","left","2.4640648365","305.980562925","2.5359351635","308.667198896","4.27436184883","312.941622972","1.72563815117","314.719740868","315.798984051","315.870465994","318.873436928","0","318.887994051","322.729003906",""
"sujeto_74a044c9","1","1","14","14","322.922543049","inverse","1","1","2","¿Qué personaje de dragon ball 
murió más veces?","Chaoz","Krillin","","1","1","0","competitive","right","2.62012410164","325.542767048","2.37987589836","328.097630024","3.1450419426","331.242712975","2.8549580574","334.132182837","335.590010881","335.666471004","338.669484854","1","338.684536934","346.457484007",""
"sujeto_74a044c9","1","1","15","15","346.586503029","direct","3","1","2","La universidad de oxford. 
existe desde:","1096","1249","","1","1","0","competitive","left","1.43432807922","348.020874977","3.56567192078","351.744441986","4.29148697853","356.035969019","1.70851302147","357.777775049","358.826593876","358.912289858","361.915282011","1","361.929708004","368.620566845",""
"sujeto_74a044c9","1","1","16","16","368.764878035","inverse","3","1","1","¿Qué escritor latino ganó antes
 el premio nobel?"," García Marquez","Neruda","","0","0","1","competitive","right","1.28913402557","370.054077864","3.71086597443","373.922734976","4.44227218628","378.365051031","1.55772781372","379.955862045","381.695868969","381.77389884","384.776891947","0","384.791191816","388.251723051",""
"sujeto_74a044c9","1","1","17","17","388.393863916","direct","4","1","3","¿Cuántos dientes tiene un
 tiburón blanco?","6000","3000","","0","0","1","competitive","left","1.47524499893","389.86917901","3.52475500107","393.547430038","3.22870993614","396.77619791","2.77129006386","399.598430872","400.637397051","400.715845823","403.718858957","0","403.73347497","408.542255878",""
"sujeto_74a044c9","1","1","18","18","408.685036898","inverse","4","1","1","¿Cuánto mide el paralelo Ecuador?","40.000km","70.000km","","0","0","1","competitive","right","1.75325202942","410.438330889","3.24674797058","413.859755039","3.57352209091","417.433320045","2.42647790909","419.910722017","421.866817951","421.94550705","424.948489904","0","424.963027954","428.565270901",""
"sujeto_74a044c9","1","1","19","19","428.714913845","direct","4","1","2","¿Cuál fue el primer libro 
de Stephen King?","Carrie","The Stand","","1","1","1","competitive","right","1.29546809196","430.010447025","3.70453190804","433.87022686","4.41827297211","438.288539886","1.58172702789","439.921335936","441.665396929","441.738468885","444.741390944","1","444.756748915","449.231189013",""
"sujeto_74a044c9","1","1","20","20","449.391629934","inverse","2","1","3","¿Qué civilización practicaba
 la momificación?","Grecia","Egipto","right","0","0","1","competitive","right","2.42095398903","451.812644958","2.57904601097","454.580667973","2.62991118431","457.210618973","3.37008881569","460.630548","462.569816828","462.648808956","465.651787043","1","465.666404963","469.895198822",""
"sujeto_74a044c9","1","1","21","21","470.03480196","direct","4","1","4","¿Cuántos millones de visitas
 recibe google por minuto?","3.0","4.5","","0","0","1","competitive","right","0.978948831558","471.013802052","4.02105116844","475.207620859","4.63312792778","479.840791941","1.36687207222","481.259106874","482.773982048","482.859915972","485.862907887","0","485.877681971","493.00036788",""
"sujeto_74a044c9","1","1","22","22","493.129185915","inverse","1","1","3","La máquina de fax. se inventó en:","1843","1960","","0","0","1","competitive","left","1.03469491005","494.163949966","3.96530508995","498.287098885","4.28987002373","502.57703805","1.71012997627","504.338320971","505.580428839","505.654981852","508.657934904","0","508.672693014","511.908977032",""
"sujeto_74a044c9","1","1","23","23","512.041396856","direct","2","1","4","En la verdadera historia de los
 300 espartanos. habían:","300 soldados","4300 soldados","","1","1","1","competitive","right","1.49267792702","513.534139872","3.50732207298","517.196990013","5.05105113983","522.248078823","0.948948860168","523.248433828","524.509660006","524.581925869","527.584930897","1","527.599133015","531.400939941",""
"sujeto_74a044c9","1","1","24","24","531.534095049","inverse","1","1","4","¿Cuántos milímetros crece
 el pelo por día?","0.4","0.04","","0","0","0","competitive","left","1.37402391434","532.908210993","3.62597608566","536.688194036","4.35103607178","541.039289951","1.64896392822","542.739626884","544.500257015","544.573426962","547.576355934","0","547.591805935","554.326839924",""
"sujeto_74a044c9","1","1","25","25","554.476433992","direct","4","1","1","¿Cuánto mide la baldosa gris 
clásica de Montevideo?","22x22 cm.","20x20 cm.","","1","1","1","competitive","right","1.09494519234","555.571444988","3.90505480766","559.635289907","4.97708702087","564.612437963","1.02291297913","565.687032938","567.68227005","567.754312992","570.757295847","1","570.77200985","576.314790964",""
"sujeto_74a044c9","1","1","26","26","576.456938028","inverse","2","1","2","¿Cuántas películas de rápidos
 y furiosos hay?","10","11","","1","1","0","competitive","right","0.970558166504","577.427559853","4.0294418335","581.613324881","3.090239048","584.703621864","2.909760952","587.664671898","589.022665977","589.098752975","592.101691008","1","592.116042852","594.150710821",""
