"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_116e70e6","1","1","1","1","725.215794086","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","","","","","","","","","","","","","","","730.238496065","732.400979042",""
"sujeto_116e70e6","1","1","2","2","732.538722038","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","individual","left","2.29141402245","734.830196142","2.70858597755","737.692663193","3.83648395538","741.529194117","2.16351604462","743.744190216","745.621790171","745.661107063","748.664046049","0","748.67743206","750.770194054",""
"sujeto_116e70e6","1","1","3","3","750.898781061","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","2.81434392929","753.713195086","2.18565607071","756.067278147","2.13486909866","758.202211142","3.86513090134","762.118782043","763.72975421","763.80380702","766.806787014","1","766.820869207","771.099181175",""
"sujeto_116e70e6","1","1","4","4","771.222802162","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.75038003922","772.973247051","3.24961996078","776.377935171","3.34640717506","779.724384069","2.65359282494","782.427880049","783.63264513","783.712902069","786.715872049","1","786.729191065","790.181760073",""
"sujeto_116e70e6","1","1","5","5","790.334609985","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","right","1.27162909508","791.606308222","3.72837090492","795.471580029","2.35069108009","797.822332144","3.64930891991","801.521631002","803.041788101","803.124104023","806.127043009","1","806.14132309","813.178004026",""
"sujeto_116e70e6","1","1","6","6","813.308995008","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","1.35821413994","814.667253017","3.64178586006","818.450611115","3.68665790558","822.137340069","2.31334209442","824.500917196","825.555733204","825.63519311","828.63816309","0","828.652082205","836.278669119",""
"sujeto_116e70e6","1","1","7","7","836.412633181","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","left","1.63259410858","838.045272112","3.36740589142","841.562197208","3.3380150795","844.900252104","2.6619849205","847.612599134","849.476599216","849.546743155","852.549726009","1","852.564707994","858.325742006",""
"sujeto_116e70e6","1","1","8","8","858.467805147","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","1.21145319939","859.67932415","3.78854680061","863.621012211","3.71921992302","867.340277195","2.28078007698","869.672875166","871.117175102","871.19088316","874.1938591","0","874.207975149","880.307346106",""
"sujeto_116e70e6","1","1","9","9","880.462705135","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","1.84058403969","882.303333044","3.15941596031","885.618764162","4.89045906067","890.509291172","1.10954093933","891.652900219","893.201763153","893.286850214","896.289790154","1","896.304085016","902.351388216",""
"sujeto_116e70e6","1","1","10","10","902.49202013","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","left","1.35322618484","903.845322132","3.64677381516","907.646413088","5.80280303955","913.449259996","0.197196960449","913.697611094","915.26602006","915.348228216","918.351207018","0","918.365509987","925.437795162",""
"sujeto_116e70e6","1","1","11","11","925.58318305","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","left","1.04806184769","926.631293058","3.95193815231","930.741830111","1.27940416336","932.02129817","4.72059583664","936.790904045","938.47294116","938.543860197","941.546830177","0","941.560911179","945.294203043",""
"sujeto_116e70e6","1","1","12","12","945.430788994","inverse","2","1","2","¿Cuantos años hace que 
se fundó facebook?","18","17","","0","0","0","competitive","left","1.58352708817","947.01436305","3.41647291183","950.584872007","2.54739189148","953.132307053","3.45260810852","956.633220196","958.005977154","958.08546114","961.085785151","0","961.102153063","963.87680316",""
"sujeto_116e70e6","1","1","13","13","964.006440163","direct","1","1","4","¿Cuál animal es más
 pesado en promedio?","Rinoceronte","Hipopotamo","","0","0","0","competitive","right","2.13583803177","966.142349005","2.86416196823","969.17706418","4.22521209717","973.402318001","1.77478790283","975.228805065","976.308029175","976.379979134","979.382970095","0","979.396350145","983.237358093",""
