"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_02de544a","1","1","1","1","763.402503967","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","2.03319311142","765.43573904","2.96680688858","768.579370022","3.18939399719","771.768843889","2.81060600281","774.631770849","775.660039902","775.732886076","778.735813856","0","778.7497859","780.912315845",""
"sujeto_02de544a","1","1","2","2","781.051944017","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","1.75688314438","782.808889866","3.24311685562","786.20697403","4.60681796074","790.813828945","1.39318203926","792.240954876","794.118994951","794.192224026","797.195199966","0","797.209414959","799.302166939",""
"sujeto_02de544a","1","1","3","3","799.4445889","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","2.33835887909","801.783012867","2.66164112091","804.633100986","3.72579503059","808.358933926","2.27420496941","810.684179068","812.295825958","812.36816287","815.371136904","1","815.386031866","819.664407969",""
"sujeto_02de544a","1","1","4","4","819.803812981","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","individual","right","3.94428300858","823.748157024","1.05571699142","824.94359684","3.93245697021","828.876085997","2.06754302979","830.9780159","832.182754993","832.228837967","835.231813908","1","835.246016026","838.699944973",""
"sujeto_02de544a","1","1","5","5","838.86410594","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","3.41708707809","842.281250954","1.58291292191","844.020056963","2.88415408134","846.904264927","3.11584591866","850.05430007","851.575680971","851.655535936","854.658475876","1","854.67375803","861.710432053",""
"sujeto_02de544a","1","1","6","6","861.858291864","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","2.28117394447","864.139528036","2.71882605553","867.048228979","3.08918380737","870.137475014","2.91081619263","873.09956193","874.154358864","874.23425293","877.236510992","0","877.251543045","884.87815094",""
"sujeto_02de544a","1","1","7","7","885.019480944","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","individual","right","1.84997797012","886.869518042","3.15002202988","890.177471876","5.82702803612","896.004555941","0.172971963882","896.211633921","898.07565999","898.128798962","901.131772995","1","901.145627975","906.904485941",""
"sujeto_02de544a","1","1","8","8","907.04748702","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","3.50414204597","910.55168891","1.49585795403","912.206219912","5.11351680756","917.319777966","0.886483192444","918.255056858","919.699395895","919.789597988","922.792543888","0","922.806592941","928.905910015",""
"sujeto_02de544a","1","1","9","9","929.057770967","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","left","2.43999195099","931.49780488","2.56000804901","934.217712879","3.94508600235","938.162862062","2.05491399765","940.251937866","941.80143404","941.886682987","944.889673948","1","944.902899981","950.950176954",""
"sujeto_02de544a","1","1","10","10","951.088718891","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","left","1.88129591942","952.970087051","3.11870408058","956.262781858","5.05915188789","961.321996927","0.940848112106","962.296251059","963.864688873","963.947385073","966.950361967","0","966.965404034","974.039027929",""
"sujeto_02de544a","1","1","11","11","974.183156013","direct","3","1","3","¿Cuál es la menor temperatura 
registrada en Uruguay?","-5.4","-7.4","","0","0","1","competitive","right","2.42992997169","976.61312604","2.57007002831","979.355355024","3.64980506897","983.005217075","2.35019493103","985.407870054","987.089917898","987.176463842","990.179436922","0","990.19341898","993.92671895",""
