"code","nro_aplicante","nro_bloque","nro_trial_bloque","nro_trial_global","show_game_type","choice_order","rival","pay_individual","pay_competitive","question","answer_left_text","answer_right_text","correct_answer","outcome_individual","outcome_competitive","outcome_rival","game_type","answer","social_time","rt_game_type","feedback_delay","show_question","answer_time","rt_answer_global","feedback_delay_2","show_jitter","jitter_time","show_outcome","outcome_time","outcome_participant_real","show_final_jitter","second_jitter_time","inicio_descanso"
"sujeto_6462fbbc","1","1","1","1","751.391772032","direct","3","1","4","¿Cuántos centímetros corresponden
al talle 36 del calzado?","23","24","","0","0","1","competitive","right","1.70627903938","753.098121881","3.29372096062","756.546683073","3.38038110733","759.927135944","2.61961889267","762.596656084","763.624922037","763.698237896","766.701221943","0","766.715322971","768.877856016",""
"sujeto_6462fbbc","1","1","2","2","769.016444921","inverse","3","1","2","¿Cuántas metros mide la Intendencia
Municipal de Montevideo? ","84","78","","0","0","1","competitive","left","1.3127219677","770.329242945","3.6872780323","774.171250105","4.44800496101","778.619294882","1.55199503899","780.222877026","782.100935936","782.173399925","785.176373959","0","785.191490889","787.284236908",""
"sujeto_6462fbbc","1","1","3","3","787.409940004","direct","1","1","3","¿Cuántas La Pasiva
 hay en uruguay?","15","11","","1","1","1","competitive","left","2.00849294662","789.418555975","2.99150705338","792.581756115","3.38758087158","795.969376087","2.61241912842","798.632322073","800.243998051","800.317043066","803.320008993","1","803.335011005","807.613331079",""
"sujeto_6462fbbc","1","1","4","4","807.736193895","inverse","3","1","3","¿De que color es la camiseta de uruguay?","blanca","celeste","right","1","1","1","competitive","right","1.48927402496","809.225583076","3.51072597504","812.90850997","2.86197090149","815.770541906","3.13802909851","818.942197084","820.146940947","820.227634907","823.230586052","1","823.244714022","826.698637009",""
"sujeto_6462fbbc","1","1","5","5","826.863451004","direct","2","1","1","¿Cuánto metros mide
la torre Eiffel?","333","324","","1","1","1","competitive","left","1.38017106056","828.243695021","3.61982893944","832.035415888","3.83022212982","835.865698099","2.16977787018","838.06981492","839.591176987","839.670249939","842.673194885","1","842.687575102","849.724272013",""
"sujeto_6462fbbc","1","1","6","6","849.905920982","inverse","3","1","4","¿Cuantas ciudades existen
 en todo el uruguay?","63","72","","0","0","1","competitive","left","2.02180790901","851.927776098","2.97819209099","855.063090086","4.53864908218","859.601799011","1.46135091782","861.11570406","862.170505047","862.249989986","865.25296402","0","865.266171932","872.892743111",""
"sujeto_6462fbbc","1","1","7","7","873.034845114","direct","1","1","1","¿Cuantos estados tiene África?","52","54","","1","1","0","competitive","right","1.67002296448","874.704937935","3.32997703552","878.176245928","2.96169090271","881.138001919","3.03830909729","884.209651947","886.073664904","886.14498806","889.14793396","1","889.161957026","894.922950029",""
"sujeto_6462fbbc","1","1","8","8","895.063955069","inverse","4","1","4","¿En qué año nació
 Stephen Hawking?","1952","1942","","0","0","1","competitive","left","1.23207402229","896.296092033","3.76792597771","900.217416048","4.47867298126","904.696146965","1.52132701874","906.25402689","907.698338032","907.771658897","910.774492979","0","910.788644075","916.888051987",""
"sujeto_6462fbbc","1","1","9","9","917.023751974","direct","2","1","3","¿Cuánto años tenía Artigas
 cuando se fue a Paraguay?","56","57","","1","1","1","competitive","right","1.92161393166","918.945436954","3.07838606834","922.197887897","4.18854188919","926.386488914","1.81145811081","928.250272989","929.799787045","929.885087967","932.8880651","1","932.902252913","938.949547052",""
"sujeto_6462fbbc","1","1","10","10","939.103583097","inverse","1","1","2","¿Cuantos milímetros 
mide una hoja A2?","420x592","420x594","","0","0","1","competitive","left","1.53424215317","940.637901068","3.46575784683","944.260771036","5.86710906029","950.127922058","0.132890939713","950.313319921","951.881740093","951.963421106","954.966409922","0","954.980427027","962.050508022",""
